#Classification	S-20-POLJUN-B_bracken_P.kreport
k__Bacteria	470268
k__Bacteria|p__Cyanobacteria	154734
k__Bacteria|p__Actinobacteria	81906
k__Bacteria|p__Chloroflexi	17
k__Bacteria|p__Firmicutes	88
k__Bacteria|p__Armatimonadetes	4
k__Bacteria|p__Deinococcus-Thermus	3
k__Bacteria|p__Proteobacteria	218724
k__Bacteria|p__Acidobacteria	7636
k__Bacteria|p__Bacteroidetes	5609
k__Bacteria|p__Planctomycetes	1474
k__Bacteria|p__Verrucomicrobia	45
k__Bacteria|p__Chlamydiae	25
k__Eukaryota	4153
k__Eukaryota|k__Metazoa	1426
k__Eukaryota|k__Metazoa|p__Chordata	1426
k__Eukaryota|k__Fungi	797
k__Eukaryota|k__Fungi|p__Ascomycota	526
k__Eukaryota|k__Fungi|p__Basidiomycota	271
k__Eukaryota|k__Viridiplantae	1929
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1913
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	16
