#Classification	GQ38_bracken_P.kreport
k__Bacteria	4655637
k__Bacteria|p__Firmicutes	2765105
k__Bacteria|p__Actinobacteria	106879
k__Bacteria|p__Bacteroidetes	1737459
k__Bacteria|p__Proteobacteria	46174
k__Bacteria|p__Candidatus_Saccharibacteria	9
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Spirochaetes	5
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	5
k__Eukaryota|k__Viridiplantae	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5
k__Viruses	85
k__Viruses|k__Heunggongvirae	85
k__Viruses|k__Heunggongvirae|p__Uroviricota	85
