name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Stutzerimonas stutzeri_AO	139038	S	36	530	566	0.19464
Stutzerimonas stutzeri_U	139055	S	2	91	93	0.03198
Stutzerimonas stutzeri	139027	S	1	20	21	0.00722
Stutzerimonas stutzeri_G	139046	S	1	10	11	0.00378
Pseudomonas aeruginosa	138123	S	16	397	413	0.14202
Pseudomonas_E alcaligenes	138170	S	3	44	47	0.01616
Thiopseudomonas sp012719655	139069	S	2	1	3	0.00103
Acinetobacter bereziniae	137066	S	1	40	41	0.01410
Burkholderia contaminans	126608	S	6	174	180	0.06190
Aquabacterium parvum	126468	S	28	248	276	0.09491
Paraburkholderia phytofirmans	128028	S	3	16	19	0.00653
Caballeronia udeis	126787	S	1	1	2	0.00069
Hydrogenophilus thermoluteolus	130841	S	1	7	8	0.00275
QFNR01 sp003248485	130416	S	1	26	27	0.00928
Leclercia tamurae	133191	S	5	15	20	0.00688
Aliidiomarina maris	132270	S	6	14	20	0.00688
CU05-9 sp943913335	140813	S	3	10	13	0.00447
Methylobacterium sp019745455	118316	S	2	12	14	0.00481
Cutibacterium acnes	48418	S	16	386	402	0.13824
Cutibacterium modestum	48421	S	11	41	52	0.01788
Cutibacterium namnetense	48422	S	5	10	15	0.00516
Corynebacterium dentalis	46027	S	1	9	10	0.00344
Corynebacterium jeddahense	46069	S	1	3	4	0.00138
Lawsonella clevelandensis_A	46365	S	2	5	7	0.00241
UBA3913 sp002391425	44759	S	7	7	14	0.00481
Microbacterium kunmingense	44188	S	1	4	5	0.00172
Streptococcus sp000187445	56205	S	17	130	147	0.05055
Streptococcus mitis_DF	56022	S	1	15	16	0.00550
Limosilactobacillus fermentum	55598	S	1	4	5	0.00172
Staphylococcus epidermidis	57090	S	15	406	421	0.14477
Parabacteroides distasonis	81434	S	1	14	15	0.00516
JACKEH01 sp937982655	104818	S	2	2	4	0.00138
Cuspidothrix issatschenkoi	96758	S	1	2	3	0.00103
