#Classification	S-18-POLJUN-G_bracken_P.kreport
k__Bacteria	153786
k__Bacteria|p__Proteobacteria	118818
k__Bacteria|p__Cyanobacteria	19375
k__Bacteria|p__Actinobacteria	12442
k__Bacteria|p__Firmicutes	587
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	1659
k__Bacteria|p__Bacteroidetes	796
k__Bacteria|p__Planctomycetes	83
k__Bacteria|p__Verrucomicrobia	18
k__Bacteria|p__Chlamydiae	2
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	42556
k__Eukaryota|k__Viridiplantae	40452
k__Eukaryota|k__Viridiplantae|p__Streptophyta	40452
k__Eukaryota|k__Metazoa	2012
k__Eukaryota|k__Metazoa|p__Chordata	2012
k__Eukaryota|k__Fungi	89
k__Eukaryota|k__Fungi|p__Ascomycota	81
k__Eukaryota|k__Fungi|p__Basidiomycota	7
k__Eukaryota|p__Euglenozoa	2
