feature	Acidovorax	Acinetobacter	Actinomyces	Agrobacterium	Alcaligenes	Anoxybacillus	Aquabacterium	Azospirillum	Bacillus	Bifidobacterium	Brevundimonas	Burkholderia	Comamonas	Corynebacterium	Cupriavidus	Cutibacterium	Dermacoccus	Effusibacillus	Enterococcus	Escherichia	Haemophilus	Halomonas	Herbaspirillum	Hydrogenophilus	Hylemonella	Klebsiella	Kocuria	Lactobacillus	Lawsonella	Limosilactobacillus	Listeria	Meiothermus	Microbacterium	Micrococcus	Moraxella	Mycobacterium	NICIL.2	Neisseria	Paraburkholderia	Paracoccus	Phocaeicola	Prevotella	Pseudomonas	Rothia	Salmonella	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Stutzerimonas	Tepidimonas	Thermoflavifilum	Thiopseudomonas
SRR20002375	436	2037	0	334	0	726	7046	412	0	0	0	182	0	450	469	6887	0	461	0	0	0	157	1030	291	945	0	0	0	0	0	0	7180	0	231	0	236	1067	0	6374	0	0	0	55502	0	0	257	260	0	175	34585	159	539	0
SRR20002377	0	124	0	0	0	0	737	0	0	0	0	0	0	0	0	2080	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	501	0	0	0	5967	0	0	0	27932	0	0	3599	0	0	0
SRR20002378	165	499	0	128	207	0	2795	354	0	0	0	0	0	0	129	1417	0	0	0	0	0	0	435	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	2505	0	0	0	29682	0	0	145	0	0	0	12446	0	0	0
SRR20002379	3076	11373	0	1544	4315	0	33950	859	0	0	0	2159	981	0	2383	7524	0	0	0	0	0	704	5402	0	4813	0	1003	0	0	0	0	0	0	0	669	3382	0	0	28369	0	0	0	218986	0	0	1738	0	1465	0	183635	0	0	0
SRR20002380	0	477	0	0	0	0	1945	295	609	1072	0	0	0	0	0	799	0	0	0	0	0	0	341	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	1455	0	0	0	14084	0	0	0	1287134	0	0	10884	0	0	0
SRR20002382	2367	9451	0	593	0	11182	23023	975	0	0	475	13670	0	1281	1252	29864	0	3668	0	0	410	493	3746	2298	2636	0	2916	0	0	0	0	72193	0	940	620	2824	16333	820	20347	0	0	0	188472	0	0	998	1421	0	778	104774	824	7135	0
SRR20002384	296	1004	0	192	0	863	4490	418	0	0	0	0	0	230659	193	4671	0	414	0	0	0	0	671	0	634	0	0	0	0	0	0	9213	0	191	143	318	2870	0	3405	0	0	0	34056	0	0	228	295	0	0	20401	0	769	0
SRR20002386	0	220	0	0	0	0	1009	0	0	0	0	0	0	0	0	1142	0	0	0	0	0	0	146	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	762	0	0	0	7220	0	0	0	0	0	0	5082	0	0	0
SRR20002388	977	3036	0	286	0	735	9216	3644	0	0	0	0	0	228	469	5690	0	652	0	170	0	209	1526	0	1128	0	0	0	0	0	0	8574	0	1274	322	258	215	0	9187	0	275	0	74845	0	0	727	0	0	2911	43843	233	351	0
SRR20002391	4991	24647	0	1828	9025	0	63094	12567	0	0	0	2796	672	3285	4522	236719	0	0	0	0	0	1271	11919	0	7651	0	0	0	5868	0	0	355	0	4029	674	2071	0	0	58271	2620	882	0	503388	0	0	3490	754	0	0	270316	0	0	0
SRR20002394	0	0	0	0	0	0	1167	0	0	0	0	1056	0	588765	0	0	0	0	0	0	0	0	0	0	0	0	0	1297	0	0	0	289	0	0	0	0	0	0	0	0	0	0	7396	0	0	0	8845	0	633	4638	0	0	0
SRR20002396	1076	6959	409	695	0	1678	17070	587	0	0	0	1076	558	1145	1238	10208	0	962	0	118079	0	275	2776	569	2383	0	416	0	0	0	0	15376	530	1183	855	718	2385	3030	15169	0	0	0	140731	0	0	1352	1676	0	5883	83001	275	1112	0
SRR20002397	1906	7062	1568	1299	8634	0	22652	0	0	0	0	817	621	1756	1254	13069	419	0	0	0	0	498	3737	0	2573	0	1718	0	0	0	0	206	0	11657	0	1027	0	0	18168	0	0	0	140838	2735	0	1140	2159	0	0	106236	0	0	0
SRR20002401	3252	13833	0	1379	0	0	33189	495	1204	0	0	862	464	4191	2048	63494	1740	0	0	17246	0	593	5194	0	4286	0	0	406	589	0	0	257	0	1381	594	1379	0	35176	31797	0	4536	0	262219	0	0	2578	48443	698	414025	154829	0	0	0
SRR20002402	195	446	0	0	0	0	3003	0	0	0	0	2792	0	0	0	1946	0	0	0	0	0	0	456	0	438	0	0	0	290	0	0	0	0	0	0	0	0	0	2287	0	0	0	20671	0	0	0	0	0	0	15577	0	0	177
SRR20002403	0	128	0	0	0	0	728	0	0	0	0	263	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	244	0	0	0	4731	0	0	0	0	0	0	2717	0	0	0
SRR20002406	231	877	0	0	0	740	3487	1406	0	0	0	943	167	335	265	22588	0	375	0	0	0	0	648	395	529	0	120	0	242	0	0	7456	0	456	0	365	1496	0	3093	0	0	0	102649	0	0	152	202	260	0	16698	123	518	0
SRR20002410	214	2261	0	270	721	0	6830	0	0	0	713	232	0	126909	437	2515	2318	0	0	0	0	0	903	0	905	0	0	0	191	0	0	0	0	573	314	469	0	0	5019	0	0	358	46047	0	0	304	175	0	0	33275	0	0	647
