feature	Acidovorax	Acinetobacter	Actinomyces	Agrobacterium	Alcaligenes	Anoxybacillus	Aquabacterium	Azospirillum	Bacillus	Bifidobacterium	Brevundimonas	Burkholderia	Comamonas	Corynebacterium	Cupriavidus	Cutibacterium	Dermacoccus	Effusibacillus	Enterococcus	Escherichia	Haemophilus	Halomonas	Herbaspirillum	Hydrogenophilus	Hylemonella	Klebsiella	Kocuria	Lactobacillus	Lawsonella	Limosilactobacillus	Listeria	Meiothermus	Microbacterium	Micrococcus	Moraxella	Mycobacterium	NICIL.2	Neisseria	Paraburkholderia	Paracoccus	Phocaeicola	Prevotella	Pseudomonas	Rothia	Salmonella	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Stutzerimonas	Tepidimonas	Thermoflavifilum	Thiopseudomonas
SRR20002340	0.0708813427156794	0.167465833655387	0	0.0547420283347335	0.0967036371341549	0	0.23893914281693	0.0993991227108527	0	0	0	0	0	0.06774566245234	0.0621713089784571	0.22886401190741	0	0	0	0.085005271417257	0	0	0.09859811528295	0	0.084538369714259	0	0	0	0	0	0	0	0	0.0622770894134582	0.0596869067955684	0.0869239636639613	0	0	0.214066278124392	0.0513955805887226	0	0	0.702055839037731	0	0	0.0623826914069961	0	0	0.0591330774156781	0.599035806451403	0	0	0
SRR20002343	0.0674468935174074	0.141763145509316	0	0.0403958049493298	0	0.120041685054875	0.206986089858435	0.0528865979319146	0	0	0	0	0	0.0746427120239994	0.0473904629268719	0.243260612167798	0.0292197049720694	0.067476180065775	0	0	0	0.0308599547531657	0.080481691564254	0.0553660478559081	0.0755204898556551	0	0	0	0	0	0	0.306800616001565	0.028002788045507	0.0616746828079121	0.0426901321061577	0.0442181274454649	0.156714227613467	0	0.187316492939932	0	0	0	0.60524194780157	0	0	0.0426747306019678	0.374215103927235	0	0.028812170458225	0.462195979464942	0.0289713365477227	0.094097914028886	0
SRR20002345	0.0628440476159886	0.124588074352578	0	0.0374289943381786	0.34589582761058	0.0688931538216326	0.188531385742974	0.105790055627409	0.0215904271012664	0	0.0349885792453371	0.044780055479351	0	0.0482287662925527	0.0488431164442963	0.492582935585017	0	0.0573741585650266	0	0	0	0.0286080309751223	0.0762467829490864	0.0427604161268599	0.0679524897306709	0	0.0236558372079703	0	0.135628711334863	0	0	0.235207688564484	0.0382974482204863	0.0518258923350216	0.0945707935746751	0.0600554381461452	0.0631055653291138	0	0.176676841860789	0	0	0	0.554300678534882	0	0	0.0360302331251096	0.0619865359810273	0	0.0244668001158109	0.40229166815326	0.0327907037275756	0.0550872336233793	0
SRR20002351	0.058471737052705	0.128781890029845	0.0945763919037233	0.0414647221158614	0.126547765829504	0	0.209087672982169	0	0.0423570666919654	0	0	0.0278357407698016	0	0.125989093963647	0.0584380264782067	0.447640168598008	0.0347795295629567	0	0.0256282742541711	0.0622589867981576	0.0432082658393325	0.031106502179788	0.0892523711361096	0	0.074077516289465	0.0402116174778718	0	0.0304351951333017	0.0916239968799067	0.0404799252412279	0.0376851272349181	0	0	0.0292149557531643	0	0.061092505921019	0	0.15875644387674	0.212317639335177	0.0287739553205952	0	0	0.588296821418279	0.0598540610938074	0.0746216107360968	0.0674425306414272	0.100223621853807	0	0.210770948552399	0.482303947163033	0	0	0
SRR20002352	0.0194986907037718	0.0590807786228042	0	0.0185792168676581	0	0	0.0963757363544243	0	0	0	0	0.0190978684401905	0	0	0.0231281499114658	0.120348549624463	0.0158090862281003	0	0	0.0171432975797148	0	0	0.0401374011300538	0	0.0348688321998974	0	0	0	0.0291142904893083	0	0	0	0	0.0200748015078431	0	0.0161403644095547	0	0	0.0974155646343531	0	0	0	0.254071101045728	0	0.0185792168676581	0.0209481481318738	1.16218790493818	0	0.0614768539821027	0.218565360558658	0	0	0
SRR20002353	0.060712081081182	0.164126758564906	0	0.0513466026917717	0.0965188851058966	0	0.267158292418688	0.0417198696405771	0	0	0	0	0	0	0.0638551305507116	0.198288974189944	0.0453531113456123	0	0	0	0	0.0336057984597564	0.109303995898891	0	0.0862650156166943	0	0.0399353527432584	0	0	0	0	0.0221357336702784	0	0.0360540076416189	0	0.0434721906506331	0	0	0.228764045876216	0	0	0	0.661602761957091	0	0	0.0540463375420109	0	0.0812617136302096	0	0.661342761335298	0	0	0
SRR20002355	0.0572275220530184	0.102165007469996	0	0.0505562214286023	0.0765194737344592	0	0.246177121330972	0	0	0	0	0.0480958489268659	0	0.0424251365208725	0.0597822714801572	0.314213652400392	0	0	0	0	0	0	0.0982319656696653	0	0.0880673411410293	0	0.0464169133154384	0	0.0422046134185018	0	0	0	0	0.0557392766274173	0	0.0400492726100218	0	0	0.233016974322445	0	0	0	0.71616518555914	0	0	0.0480958489268659	0	0	0	0.582606355022547	0	0	0
SRR20002356	0	0.0252565709223138	0	0	0	0.0333603916436517	0.0495850028455661	0	0	0	0	0	0	0.0284529695714739	0	0.106215761453938	0	0	0	0.0664565344483554	0	0	0.0224371946274602	0	0.0197954067041371	0.101784001834234	0	0	0	0	0	0.112733425683223	0	0.0289019850177211	0	0	0.0503588983532792	0	0.0537973477621181	0	0	0	1.29423699034922	0	0	0	0	0	0.0959760523030248	0.116521438887109	0	0.0324911721716254	0
SRR20002360	0.0637024381357304	0.111907237012083	0.0393108014591192	0.0375176089172112	0.0399864855431071	0	0.216920330860929	0.071689851515324	0	0	0	0	0	0.0579034070952037	0.0522704503194415	0.303361284674868	0	0	0	0	0	0	0.0763552249476968	0	0.0824476538211715	0	0.0424923798949046	0	0.0362730283960404	0	0	0	0	0.0901926222866442	0	0.0717967960206304	0	0	0.210856356383825	0	0	0	0.831843279196796	0	0	0.0477526581664324	0.0398906584970715	0	0	0.474958917597965	0	0	0
SRR20002363	0.021044729281902	0.0439872049238053	0	0.0171690962639137	0.015502863662333	0	0.0910247979899938	0	0	0	0	0.0188594317865902	0	0	0.0289702851406388	0.057921038236048	0	0	0	0	0	0	0.0398909597821126	0	0.0316065381576115	0	0	0	0.0151719919716092	0	0	0.00977164664183439	0	0	0.0143917574898839	0.0583346085435965	0	0	0.0874204132244349	0	0	0	0.229404620227984	0	0	0.018724397127791	1.18842232125182	0	0.115680017504623	0.211270943718866	0	0	0
