#Classification	S-8-POLCOM-B_bracken_O.kreport
k__Bacteria	498308
k__Bacteria|p__Proteobacteria	349778
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	121102
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	89694
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	21610
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	8667
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1061
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	61
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	5
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	116228
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	116128
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	7
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	93
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	111830
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	96145
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	8697
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	6729
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	105
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	135
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	9
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	581
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	581
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	31
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	31
k__Bacteria|p__Proteobacteria|c__Oligoflexia	4
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	4
k__Bacteria|p__Actinobacteria	87382
k__Bacteria|p__Actinobacteria|c__Actinomycetia	81919
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	46512
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	5127
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	8476
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	3318
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	6435
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	8245
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	142
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	388
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	1077
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	542
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	268
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	121
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	1259
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	4482
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	4351
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	130
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	877
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	877
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	104
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	104
k__Bacteria|p__Cyanobacteria	37444
k__Bacteria|p__Cyanobacteria|o__Nostocales	37367
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	4
k__Bacteria|p__Cyanobacteria|o__Chroococcales	1
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	8
k__Bacteria|p__Cyanobacteria|o__Synechococcales	62
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	1
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	1
k__Bacteria|p__Firmicutes	3967
k__Bacteria|p__Firmicutes|c__Bacilli	3967
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	3331
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	635
k__Bacteria|p__Chloroflexi	12
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	12
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	12
k__Bacteria|p__Armatimonadetes	5
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	4
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales	4
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	1
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales	1
k__Bacteria|p__Acidobacteria	12859
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	12855
