#Classification	S-8-POLJUN-B_bracken_P.kreport
k__Bacteria	487233
k__Bacteria|p__Proteobacteria	386767
k__Bacteria|p__Actinobacteria	70310
k__Bacteria|p__Cyanobacteria	11499
k__Bacteria|p__Firmicutes	2085
k__Bacteria|p__Armatimonadetes	6
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Deinococcus-Thermus	2
k__Bacteria|p__Acidobacteria	9023
k__Bacteria|p__Bacteroidetes	5733
k__Bacteria|p__Gemmatimonadetes	128
k__Bacteria|p__Planctomycetes	1584
k__Bacteria|p__Verrucomicrobia	74
k__Bacteria|p__Chlamydiae	4
k__Bacteria|p__Candidatus_Saccharibacteria	10
k__Eukaryota	3892
k__Eukaryota|k__Metazoa	1182
k__Eukaryota|k__Metazoa|p__Chordata	1182
k__Eukaryota|k__Fungi	975
k__Eukaryota|k__Fungi|p__Ascomycota	836
k__Eukaryota|k__Fungi|p__Basidiomycota	139
k__Eukaryota|k__Viridiplantae	1727
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1704
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	23
k__Eukaryota|p__Euglenozoa	7
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
