#Classification	S-8-POLJUN-B_bracken_O.kreport
k__Bacteria	487068
k__Bacteria|p__Proteobacteria	386764
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	231785
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	176523
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	47412
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1215
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	4798
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	1620
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	170
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	43
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	107875
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	107242
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	4
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	11
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	617
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	46348
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	6531
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	34212
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	5132
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	20
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	327
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	9
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	115
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	746
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	746
k__Bacteria|p__Proteobacteria|c__Oligoflexia	8
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	2
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	6
k__Bacteria|p__Actinobacteria	70310
k__Bacteria|p__Actinobacteria|c__Actinomycetia	65940
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	34768
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	4823
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	4415
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	8796
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	1158
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	4865
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	2758
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	812
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	1510
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	359
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	143
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1042
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	209
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	111
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	161
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2950
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2950
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1414
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	1414
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	5
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	5
k__Bacteria|p__Cyanobacteria	11499
k__Bacteria|p__Cyanobacteria|o__Nostocales	11443
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	20
k__Bacteria|p__Cyanobacteria|o__Chroococcales	1
k__Bacteria|p__Cyanobacteria|o__Synechococcales	8
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	9
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	10
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	7
k__Bacteria|p__Firmicutes	2085
k__Bacteria|p__Firmicutes|c__Bacilli	2037
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1525
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	512
k__Bacteria|p__Firmicutes|c__Clostridia	39
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	39
k__Bacteria|p__Firmicutes|c__Negativicutes	8
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	8
k__Bacteria|p__Armatimonadetes	6
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	6
