#Classification	S-7-POLCOM-B_bracken_P.kreport
k__Bacteria	1017538
k__Bacteria|p__Proteobacteria	737232
k__Bacteria|p__Actinobacteria	217533
k__Bacteria|p__Cyanobacteria	1240
k__Bacteria|p__Firmicutes	4076
k__Bacteria|p__Chloroflexi	33
k__Bacteria|p__Armatimonadetes	30
k__Bacteria|p__Deinococcus-Thermus	34
k__Bacteria|p__Acidobacteria	29397
k__Bacteria|p__Bacteroidetes	21840
k__Bacteria|p__Chlorobi	3
k__Bacteria|p__Gemmatimonadetes	103
k__Bacteria|p__Planctomycetes	4571
k__Bacteria|p__Verrucomicrobia	1053
k__Bacteria|p__Chlamydiae	42
k__Bacteria|p__Candidatus_Omnitrophica	1
k__Bacteria|p__Candidatus_Saccharibacteria	30
k__Bacteria|p__Candidatus_Absconditabacteria	5
k__Bacteria|p__Spirochaetes	150
k__Bacteria|p__Chrysiogenetes	156
k__Eukaryota	7673
k__Eukaryota|k__Metazoa	2694
k__Eukaryota|k__Metazoa|p__Chordata	2694
k__Eukaryota|k__Fungi	2620
k__Eukaryota|k__Fungi|p__Ascomycota	2146
k__Eukaryota|k__Fungi|p__Basidiomycota	474
k__Eukaryota|k__Viridiplantae	2344
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2292
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	51
k__Eukaryota|p__Euglenozoa	7
k__Eukaryota|p__Cercozoa	2
k__Eukaryota|p__Apicomplexa	2
k__Eukaryota|p__Evosea	2
k__Archaea	9
k__Archaea|p__Euryarchaeota	9
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
