feature	Acidovorax	Acinetobacter	Actinomyces	Agrobacterium	Alcaligenes	Anoxybacillus	Aquabacterium	Azospirillum	Bacillus	Bifidobacterium	Brevundimonas	Burkholderia	Comamonas	Corynebacterium	Cupriavidus	Cutibacterium	Dermacoccus	Effusibacillus	Escherichia	Haemophilus	Halomonas	Herbaspirillum	Hydrogenophilus	Hylemonella	Klebsiella	Kocuria	Lactobacillus	Lawsonella	Limosilactobacillus	Listeria	Meiothermus	Microbacterium	Micrococcus	Moraxella	Mycobacterium	NICIL.2	Neisseria	Paraburkholderia	Paracoccus	Phocaeicola	Prevotella	Pseudomonas	Rothia	Salmonella	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Stutzerimonas	Tepidimonas	Thermoflavifilum	Thiopseudomonas
SRR20002365	1069	3371	0	909	0	0	21573	0	0	0	0	1287	0	1878	2427	53955	0	0	0	0	0	2315	0	3450	0	0	0	1832	0	0	477	617	0	465	610	0	588	9082	0	0	0	109626	5353	0	913	1049	0	0	89275	0	0	0
SRR20002368	543	2049	0	286	1689	0	10175	290	0	0	0	0	0	263	1406	10031	481	0	0	0	495	1064	0	1386	0	232	0	689	0	0	0	0	302	0	0	0	0	5369	0	0	0	62131	0	0	354	1223952	0	0	38532	0	0	0
SRR20002369	0	0	0	0	0	0	0	0	0	60984	0	0	0	0	0	202	0	0	37377	220758	0	0	0	0	0	0	2735	0	0	0	0	0	0	0	0	0	0	0	0	0	401	224	0	0	0	7983	0	0	184	0	0	0
SRR20002371	0	0	0	0	0	321	584	381	0	0	0	0	0	0	0	2721	0	0	0	0	0	0	0	0	1035	0	0	141	0	0	3003	0	0	0	0	779	0	317	0	0	0	5039	0	0	0	4394	0	6667	2119	0	337	0
SRR20002373	820	3825	0	590	4582	4160	16622	1128	0	0	0	496	0	0	1838	10715	392	1887	0	0	0	1776	855	2091	0	0	0	1688	0	0	24191	0	0	0	364	2757	0	8994	0	0	0	90522	0	0	550	303	0	0	65928	0	2279	0
SRR20002375	406	1213	0	254	0	726	6513	375	0	0	0	0	0	433	760	6237	0	461	0	0	0	732	0	945	0	0	0	0	0	0	6148	0	196	0	0	838	0	4079	0	0	0	40935	0	0	173	223	0	0	25682	159	539	0
SRR20002377	0	0	0	0	0	0	725	0	0	0	0	0	0	0	0	1459	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	4573	0	0	0	24072	0	0	2314	0	0	0
SRR20002378	158	247	0	0	0	0	2631	326	0	0	0	0	0	0	193	1200	0	0	0	0	0	337	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	1455	0	0	0	22770	0	0	0	0	0	0	9322	0	0	0
SRR20002379	1811	5969	0	1207	2479	0	30069	745	0	0	0	1773	827	0	3709	6561	0	0	0	0	708	3510	0	4813	0	884	0	0	0	0	0	0	0	613	1220	0	0	18057	0	0	0	160270	0	0	1132	0	1465	0	135262	0	0	0
SRR20002380	0	181	0	0	0	0	1931	262	514	650	0	0	0	0	0	789	0	0	0	0	0	206	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	656	0	0	0	10291	0	0	0	1069113	0	0	7339	0	0	0
SRR20002382	2075	5138	0	0	0	11182	20631	883	0	0	475	8308	0	1215	2418	21739	0	3668	0	411	0	2402	2285	2636	0	2924	0	0	0	0	62339	0	694	527	1085	12825	0	11969	0	0	0	143231	0	0	657	999	0	640	77735	824	7135	0
SRR20002384	303	408	0	166	0	863	4165	396	0	0	0	0	0	115532	370	3652	0	414	0	0	0	513	0	638	0	0	0	0	0	0	7977	0	0	0	186	2202	0	2101	0	0	0	25736	0	0	0	362	0	0	14464	0	769	0
SRR20002386	0	0	0	0	0	0	995	0	0	0	0	0	0	0	0	1121	0	0	0	0	0	102	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	5235	0	0	0	0	0	0	3672	0	0	0
SRR20002388	491	1757	0	251	0	735	8301	3311	0	0	0	0	0	185	757	5323	0	652	0	0	190	967	0	1128	0	0	0	0	0	0	7293	0	850	282	165	215	0	5926	0	223	0	57668	0	0	574	0	0	2911	30463	238	351	0
SRR20002391	3835	13528	0	1554	4804	0	57630	11631	0	0	0	1378	0	2812	6916	148742	0	0	0	0	1002	7441	0	7651	0	0	0	5895	0	0	355	0	2719	744	1356	0	0	38945	2620	576	0	374394	0	0	1746	692	0	0	199334	0	0	0
SRR20002394	0	0	0	0	0	0	1167	0	0	0	0	777	0	412784	0	0	0	0	0	0	0	0	0	0	0	0	1064	0	0	0	289	0	0	0	0	0	0	0	0	0	0	5318	0	0	0	5186	0	0	2732	0	0	0
SRR20002396	697	4119	395	534	0	1678	15190	575	0	0	0	584	451	963	1563	9610	0	962	91929	0	268	1935	506	2383	0	370	0	0	0	0	13289	297	1235	513	336	1862	2862	10181	0	0	0	104875	0	0	683	1223	0	5334	62191	271	1112	0
SRR20002397	975	3884	1568	1079	4951	0	20182	0	0	0	0	724	1183	1304	2065	8358	362	0	0	0	0	2273	0	2573	0	1450	0	0	0	0	206	0	7067	0	658	0	0	12363	0	0	0	103697	2634	0	862	1814	0	0	77101	0	0	0
SRR20002401	1911	8006	0	1022	0	0	30090	0	558	0	0	687	0	3238	4080	49648	1649	0	9639	0	0	3562	0	4286	0	0	0	579	0	0	239	0	1016	593	686	0	29628	20402	0	3728	0	189289	0	0	1402	35821	496	409197	114873	0	0	0
SRR20002402	164	175	0	0	0	0	2987	0	0	0	0	1926	0	0	0	1492	0	0	0	0	0	349	0	438	0	0	0	290	0	0	0	0	0	0	0	0	0	1170	0	0	0	14895	0	0	0	0	0	0	10995	0	0	177
SRR20002403	0	0	0	0	0	0	728	0	0	0	0	173	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	3385	0	0	0	0	0	0	1888	0	0	0
