#Classification	S-6-POLPIL-G_bracken_P.kreport
k__Bacteria	19679
k__Bacteria|p__Proteobacteria	17622
k__Bacteria|p__Actinobacteria	865
k__Bacteria|p__Firmicutes	3
k__Bacteria|p__Acidobacteria	951
k__Bacteria|p__Bacteroidetes	226
k__Bacteria|p__Planctomycetes	11
k__Eukaryota	3647
k__Eukaryota|k__Metazoa	2110
k__Eukaryota|k__Metazoa|p__Chordata	2110
k__Eukaryota|k__Fungi	151
k__Eukaryota|k__Fungi|p__Ascomycota	151
k__Eukaryota|k__Viridiplantae	1385
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1385
