#Classification	S-18-POLPIL-G_bracken_P.kreport
k__Bacteria	464148
k__Bacteria|p__Proteobacteria	354056
k__Bacteria|p__Actinobacteria	86520
k__Bacteria|p__Cyanobacteria	1550
k__Bacteria|p__Firmicutes	438
k__Bacteria|p__Chloroflexi	14
k__Bacteria|p__Armatimonadetes	12
k__Bacteria|p__Deinococcus-Thermus	12
k__Bacteria|p__Tenericutes	1
k__Bacteria|p__Acidobacteria	11777
k__Bacteria|p__Bacteroidetes	8802
k__Bacteria|p__Gemmatimonadetes	3
k__Bacteria|p__Planctomycetes	767
k__Bacteria|p__Verrucomicrobia	159
k__Bacteria|p__Chlamydiae	12
k__Bacteria|p__Candidatus_Saccharibacteria	9
k__Bacteria|p__Spirochaetes	9
k__Bacteria|p__Nitrospirae	1
k__Eukaryota	139677
k__Eukaryota|k__Viridiplantae	130479
k__Eukaryota|k__Viridiplantae|p__Streptophyta	130420
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	59
k__Eukaryota|k__Metazoa	7247
k__Eukaryota|k__Metazoa|p__Chordata	7247
k__Eukaryota|k__Fungi	1945
k__Eukaryota|k__Fungi|p__Ascomycota	1686
k__Eukaryota|k__Fungi|p__Basidiomycota	259
k__Eukaryota|p__Cercozoa	5
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	3
k__Viruses|k__Heunggongvirae	3
k__Viruses|k__Heunggongvirae|p__Uroviricota	3
