#Classification	SRR20002361_bracken_P.kreport
k__Bacteria	7232526
k__Bacteria|p__Proteobacteria	5886523
k__Bacteria|p__Actinobacteria	622812
k__Bacteria|p__Firmicutes	481808
k__Bacteria|p__Deinococcus-Thermus	188608
k__Bacteria|p__Cyanobacteria	134
k__Bacteria|p__Chloroflexi	27
k__Bacteria|p__Bacteroidetes	49830
k__Bacteria|p__Ignavibacteriae	2
k__Bacteria|p__Gemmatimonadetes	17
k__Bacteria|p__Verrucomicrobia	1666
k__Bacteria|p__Chlamydiae	208
k__Bacteria|p__Planctomycetes	61
k__Bacteria|p__Fusobacteria	597
k__Bacteria|p__Synergistetes	68
k__Bacteria|p__Acidobacteria	48
k__Bacteria|p__Aquificae	45
k__Bacteria|p__Candidatus_Saccharibacteria	36
k__Bacteria|p__Spirochaetes	16
k__Bacteria|p__Nitrospirae	16
k__Eukaryota	47219
k__Eukaryota|k__Fungi	34533
k__Eukaryota|k__Fungi|p__Basidiomycota	26306
k__Eukaryota|k__Fungi|p__Ascomycota	8227
k__Eukaryota|k__Metazoa	2532
k__Eukaryota|k__Metazoa|p__Chordata	2532
k__Eukaryota|k__Viridiplantae	10051
k__Eukaryota|k__Viridiplantae|p__Streptophyta	10051
k__Eukaryota|p__Apicomplexa	101
k__Archaea	4182
k__Archaea|p__Euryarchaeota	4173
k__Archaea|p__Thaumarchaeota	9
k__Viruses	2744
k__Viruses|k__Heunggongvirae	2742
k__Viruses|k__Heunggongvirae|p__Uroviricota	2691
k__Viruses|k__Heunggongvirae|p__Peploviricota	51
k__Viruses|k__Bamfordvirae	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	2
