#Classification	SRR20002482_bracken_P.kreport
k__Bacteria	46605
k__Bacteria|p__Proteobacteria	43959
k__Bacteria|p__Actinobacteria	1345
k__Bacteria|p__Firmicutes	1213
k__Bacteria|p__Deinococcus-Thermus	79
k__Bacteria|p__Bacteroidetes	7
k__Eukaryota	210
k__Eukaryota|k__Metazoa	148
k__Eukaryota|k__Metazoa|p__Chordata	148
k__Eukaryota|k__Fungi	49
k__Eukaryota|k__Fungi|p__Basidiomycota	43
k__Eukaryota|k__Fungi|p__Ascomycota	6
k__Eukaryota|k__Viridiplantae	13
k__Eukaryota|k__Viridiplantae|p__Streptophyta	13
k__Archaea	3
k__Archaea|p__Euryarchaeota	3
k__Viruses	7
k__Viruses|k__Heunggongvirae	7
k__Viruses|k__Heunggongvirae|p__Uroviricota	7
