#Classification	GQ33_bracken_P.kreport
k__Bacteria	14669462
k__Bacteria|p__Actinobacteria	2877825
k__Bacteria|p__Firmicutes	4782082
k__Bacteria|p__Bacteroidetes	6468424
k__Bacteria|p__Verrucomicrobia	339820
k__Bacteria|p__Proteobacteria	201096
k__Bacteria|p__Spirochaetes	86
k__Bacteria|p__Fusobacteria	82
k__Bacteria|p__Candidatus_Saccharibacteria	27
k__Bacteria|p__Synergistetes	17
k__Archaea	17521
k__Archaea|p__Euryarchaeota	17521
k__Eukaryota	1323
k__Eukaryota|k__Fungi	1099
k__Eukaryota|k__Fungi|p__Ascomycota	1099
k__Eukaryota|k__Viridiplantae	223
k__Eukaryota|k__Viridiplantae|p__Streptophyta	223
k__Viruses	735
k__Viruses|k__Heunggongvirae	735
k__Viruses|k__Heunggongvirae|p__Uroviricota	735
