#Classification	S-8-POLPIL-G_bracken_P.kreport
k__Eukaryota	170715
k__Eukaryota|k__Viridiplantae	158662
k__Eukaryota|k__Viridiplantae|p__Streptophyta	158654
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	7
k__Eukaryota|k__Metazoa	10557
k__Eukaryota|k__Metazoa|p__Chordata	10557
k__Eukaryota|k__Fungi	1479
k__Eukaryota|k__Fungi|p__Ascomycota	1400
k__Eukaryota|k__Fungi|p__Basidiomycota	79
k__Eukaryota|p__Cercozoa	9
k__Eukaryota|p__Apicomplexa	2
k__Eukaryota|p__Bacillariophyta	1
k__Eukaryota|p__Euglenozoa	3
k__Bacteria	159346
k__Bacteria|p__Proteobacteria	120055
k__Bacteria|p__Actinobacteria	27051
k__Bacteria|p__Cyanobacteria	2153
k__Bacteria|p__Firmicutes	362
k__Bacteria|p__Chloroflexi	12
k__Bacteria|p__Armatimonadetes	5
k__Bacteria|p__Deinococcus-Thermus	4
k__Bacteria|p__Acidobacteria	6728
k__Bacteria|p__Bacteroidetes	1866
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	23
k__Bacteria|p__Planctomycetes	911
k__Bacteria|p__Verrucomicrobia	53
k__Bacteria|p__Chlamydiae	4
k__Bacteria|p__Kiritimatiellaeota	107
k__Bacteria|p__Spirochaetes	5
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Archaea	2
k__Archaea|p__Euryarchaeota	2
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
