#Classification	S-21-POLJUN-B_bracken_P.kreport
k__Bacteria	85028
k__Bacteria|p__Cyanobacteria	32181
k__Bacteria|p__Actinobacteria	5383
k__Bacteria|p__Chloroflexi	3
k__Bacteria|p__Proteobacteria	35646
k__Bacteria|p__Acidobacteria	6277
k__Bacteria|p__Bacteroidetes	5060
k__Bacteria|p__Planctomycetes	469
k__Bacteria|p__Chlamydiae	3
k__Bacteria|p__Verrucomicrobia	3
k__Eukaryota	338
k__Eukaryota|k__Metazoa	137
k__Eukaryota|k__Metazoa|p__Chordata	137
k__Eukaryota|k__Fungi	59
k__Eukaryota|k__Fungi|p__Ascomycota	51
k__Eukaryota|k__Fungi|p__Basidiomycota	8
k__Eukaryota|k__Viridiplantae	141
k__Eukaryota|k__Viridiplantae|p__Streptophyta	141
