#Classification	S-4-DICUND-B_bracken_C.kreport
k__Bacteria	165
k__Bacteria|p__Actinobacteria	86
k__Bacteria|p__Actinobacteria|c__Actinomycetia	86
k__Bacteria|p__Proteobacteria	58
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	53
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1
k__Bacteria|p__Acidobacteria	20
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	20
k__Eukaryota	2
k__Eukaryota|k__Viridiplantae	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	2
