#Classification	S-15-POLPIL-G_bracken_P.kreport
k__Bacteria	318357
k__Bacteria|p__Proteobacteria	251790
k__Bacteria|p__Actinobacteria	50482
k__Bacteria|p__Cyanobacteria	768
k__Bacteria|p__Firmicutes	1882
k__Bacteria|p__Armatimonadetes	7
k__Bacteria|p__Deinococcus-Thermus	4
k__Bacteria|p__Tenericutes	1
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	8313
k__Bacteria|p__Bacteroidetes	4254
k__Bacteria|p__Rhodothermaeota	13
k__Bacteria|p__Gemmatimonadetes	14
k__Bacteria|p__Planctomycetes	530
k__Bacteria|p__Verrucomicrobia	127
k__Bacteria|p__Chlamydiae	7
k__Bacteria|p__Spirochaetes	155
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Bacteria|p__Thermotogae	1
k__Eukaryota	173151
k__Eukaryota|k__Viridiplantae	162394
k__Eukaryota|k__Viridiplantae|p__Streptophyta	162361
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	32
k__Eukaryota|k__Metazoa	9806
k__Eukaryota|k__Metazoa|p__Chordata	9806
k__Eukaryota|k__Fungi	939
k__Eukaryota|k__Fungi|p__Ascomycota	812
k__Eukaryota|k__Fungi|p__Basidiomycota	127
k__Eukaryota|p__Cercozoa	4
k__Eukaryota|p__Euglenozoa	4
k__Eukaryota|p__Evosea	2
k__Archaea	7
k__Archaea|p__Thaumarchaeota	4
k__Archaea|p__Euryarchaeota	3
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
