#Classification	SRR5091593_bracken_P.kreport
k__Bacteria	12882017
k__Bacteria|p__Bacteroidetes	10081250
k__Bacteria|p__Firmicutes	2565962
k__Bacteria|p__Actinobacteria	150299
k__Bacteria|p__Proteobacteria	83955
k__Bacteria|p__Verrucomicrobia	399
k__Bacteria|p__Fusobacteria	111
k__Bacteria|p__Spirochaetes	20
k__Bacteria|p__Candidatus_Saccharibacteria	13
k__Bacteria|p__Synergistetes	4
k__Bacteria|p__Elusimicrobia	1
k__Eukaryota	161
k__Eukaryota|k__Viridiplantae	129
k__Eukaryota|k__Viridiplantae|p__Streptophyta	129
k__Eukaryota|k__Fungi	31
k__Eukaryota|k__Fungi|p__Ascomycota	31
k__Archaea	2
k__Archaea|p__Euryarchaeota	2
k__Viruses	6823
k__Viruses|k__Heunggongvirae	6804
k__Viruses|k__Heunggongvirae|p__Uroviricota	6804
k__Viruses|k__Sangervirae	19
k__Viruses|k__Sangervirae|p__Phixviricota	19
