#Classification	GQ16_bracken_P.kreport
k__Bacteria	3143251
k__Bacteria|p__Firmicutes	1540811
k__Bacteria|p__Actinobacteria	571226
k__Bacteria|p__Tenericutes	576
k__Bacteria|p__Cyanobacteria	10
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Proteobacteria	672349
k__Bacteria|p__Bacteroidetes	281968
k__Bacteria|p__Fusobacteria	62774
k__Bacteria|p__Candidatus_Saccharibacteria	6967
k__Bacteria|p__Spirochaetes	5937
k__Bacteria|p__Synergistetes	620
k__Bacteria|p__Verrucomicrobia	2
k__Bacteria|p__Kiritimatiellaeota	1
k__Bacteria|p__Acidobacteria	2
k__Bacteria|p__Thermotogae	2
k__Eukaryota	10816
k__Eukaryota|k__Metazoa	8743
k__Eukaryota|k__Metazoa|p__Chordata	8743
k__Eukaryota|k__Fungi	76
k__Eukaryota|k__Fungi|p__Basidiomycota	72
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Viridiplantae	1652
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1652
k__Eukaryota|p__Apicomplexa	331
k__Eukaryota|p__Euglenozoa	13
k__Archaea	7
k__Archaea|p__Euryarchaeota	6
k__Archaea|p__Crenarchaeota	1
k__Viruses	612
k__Viruses|k__Heunggongvirae	608
k__Viruses|k__Heunggongvirae|p__Uroviricota	599
k__Viruses|k__Heunggongvirae|p__Peploviricota	9
k__Viruses|k__Shotokuvirae	4
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	2
k__Viruses|k__Shotokuvirae|p__Cossaviricota	2
