#Classification	SRR5091513_bracken_P.kreport
k__Bacteria	16321007
k__Bacteria|p__Bacteroidetes	13216198
k__Bacteria|p__Firmicutes	2595765
k__Bacteria|p__Actinobacteria	12085
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Proteobacteria	494379
k__Bacteria|p__Synergistetes	1285
k__Bacteria|p__Verrucomicrobia	954
k__Bacteria|p__Planctomycetes	4
k__Bacteria|p__Spirochaetes	299
k__Bacteria|p__Candidatus_Saccharibacteria	19
k__Bacteria|p__Fusobacteria	16
k__Eukaryota	1714
k__Eukaryota|k__Viridiplantae	1690
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1690
k__Eukaryota|k__Fungi	18
k__Eukaryota|k__Fungi|p__Ascomycota	18
k__Eukaryota|p__Fornicata	5
k__Archaea	77
k__Archaea|p__Euryarchaeota	77
k__Viruses	25284
k__Viruses|k__Heunggongvirae	25284
k__Viruses|k__Heunggongvirae|p__Uroviricota	25284
