#Classification	SRR20002422_bracken_O.kreport
k__Bacteria	6690980
k__Bacteria|p__Firmicutes	4448898
k__Bacteria|p__Firmicutes|c__Bacilli	4447032
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	4424966
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	22066
k__Bacteria|p__Firmicutes|c__Clostridia	1526
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1524
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	2
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	219
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	219
k__Bacteria|p__Firmicutes|c__Negativicutes	86
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	82
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3
k__Bacteria|p__Firmicutes|c__Tissierellia	33
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	33
k__Bacteria|p__Actinobacteria	1458158
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1458107
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	1449290
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	3325
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	4306
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	866
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	248
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	52
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	8
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	7
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	2
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	51
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	14
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	36
k__Bacteria|p__Deinococcus-Thermus	211
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	211
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	192
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	18
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	1
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales	1
k__Bacteria|p__Proteobacteria	781875
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	756423
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	624566
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	125739
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2429
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2245
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	504
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	676
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	182
