#Classification	S-9-DICUND-B_bracken_F.kreport
k__Bacteria	16000
k__Bacteria|p__Proteobacteria	8189
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	5377
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	5316
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	5304
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	10
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	61
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae	61
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1457
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1247
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	1247
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	173
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	173
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	36
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	36
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1353
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	928
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	546
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	42
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Lichenihabitantaceae	70
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylocystaceae	99
