#Classification	S-22-POLPIL-B_bracken_P.kreport
k__Bacteria	73496
k__Bacteria|p__Cyanobacteria	19135
k__Bacteria|p__Actinobacteria	4730
k__Bacteria|p__Firmicutes	126
k__Bacteria|p__Proteobacteria	43488
k__Bacteria|p__Acidobacteria	5342
k__Bacteria|p__Bacteroidetes	413
k__Bacteria|p__Planctomycetes	250
k__Bacteria|p__Chlamydiae	4
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Spirochaetes	1
k__Eukaryota	1966
k__Eukaryota|k__Metazoa	1675
k__Eukaryota|k__Metazoa|p__Chordata	1675
k__Eukaryota|k__Fungi	139
k__Eukaryota|k__Fungi|p__Ascomycota	120
k__Eukaryota|k__Fungi|p__Basidiomycota	18
k__Eukaryota|k__Viridiplantae	151
k__Eukaryota|k__Viridiplantae|p__Streptophyta	151
