#Classification	S-20-POLPIL-B_bracken_P.kreport
k__Bacteria	982322
k__Bacteria|p__Proteobacteria	624605
k__Bacteria|p__Actinobacteria	195279
k__Bacteria|p__Cyanobacteria	68701
k__Bacteria|p__Firmicutes	6352
k__Bacteria|p__Deinococcus-Thermus	269
k__Bacteria|p__Chloroflexi	318
k__Bacteria|p__Armatimonadetes	104
k__Bacteria|p__Tenericutes	30
k__Bacteria|p__Acidobacteria	56302
k__Bacteria|p__Bacteroidetes	21110
k__Bacteria|p__Chlorobi	22
k__Bacteria|p__Rhodothermaeota	52
k__Bacteria|p__Balneolaeota	2
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Gemmatimonadetes	458
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Planctomycetes	6546
k__Bacteria|p__Verrucomicrobia	1123
k__Bacteria|p__Chlamydiae	36
k__Bacteria|p__Kiritimatiellaeota	376
k__Bacteria|p__Candidatus_Omnitrophica	1
k__Bacteria|p__Candidatus_Saccharibacteria	67
k__Bacteria|p__Spirochaetes	92
k__Bacteria|p__Nitrospirae	17
k__Bacteria|p__Thermotogae	16
k__Bacteria|p__Synergistetes	105
k__Bacteria|p__Chrysiogenetes	300
k__Bacteria|p__Fusobacteria	22
k__Bacteria|p__Calditrichaeota	1
k__Bacteria|p__Deferribacteres	2
k__Eukaryota	93967
k__Eukaryota|k__Viridiplantae	50371
k__Eukaryota|k__Viridiplantae|p__Streptophyta	49695
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	676
k__Eukaryota|k__Fungi	23281
k__Eukaryota|k__Fungi|p__Ascomycota	22238
k__Eukaryota|k__Fungi|p__Basidiomycota	1043
k__Eukaryota|k__Metazoa	20157
k__Eukaryota|k__Metazoa|p__Chordata	20157
k__Eukaryota|p__Apicomplexa	52
k__Eukaryota|p__Bacillariophyta	41
k__Eukaryota|p__Cercozoa	12
k__Eukaryota|p__Euglenozoa	41
k__Eukaryota|p__Evosea	7
k__Archaea	137
k__Archaea|p__Euryarchaeota	125
k__Archaea|p__Thaumarchaeota	10
k__Archaea|p__Crenarchaeota	2
k__Viruses	36
k__Viruses|k__Heunggongvirae	33
k__Viruses|k__Heunggongvirae|p__Uroviricota	33
k__Viruses|k__Bamfordvirae	3
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	3
