#Classification	NS86_bracken_P.kreport
k__Bacteria	4332174
k__Bacteria|p__Firmicutes	4143105
k__Bacteria|p__Actinobacteria	139866
k__Bacteria|p__Bacteroidetes	21430
k__Bacteria|p__Proteobacteria	27629
k__Bacteria|p__Spirochaetes	102
k__Bacteria|p__Verrucomicrobia	27
k__Bacteria|p__Candidatus_Saccharibacteria	8
k__Bacteria|p__Fusobacteria	3
k__Eukaryota	1695
k__Eukaryota|k__Viridiplantae	1167
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1167
k__Eukaryota|k__Fungi	527
k__Eukaryota|k__Fungi|p__Ascomycota	527
k__Viruses	497
k__Viruses|k__Heunggongvirae	497
k__Viruses|k__Heunggongvirae|p__Uroviricota	497
