#Classification	S-10-POLPIL-G_bracken_P.kreport
k__Bacteria	394871
k__Bacteria|p__Proteobacteria	299564
k__Bacteria|p__Actinobacteria	62165
k__Bacteria|p__Cyanobacteria	9037
k__Bacteria|p__Firmicutes	2631
k__Bacteria|p__Chloroflexi	107
k__Bacteria|p__Armatimonadetes	42
k__Bacteria|p__Deinococcus-Thermus	17
k__Bacteria|p__Acidobacteria	13952
k__Bacteria|p__Bacteroidetes	4036
k__Bacteria|p__Gemmatimonadetes	143
k__Bacteria|p__Planctomycetes	2931
k__Bacteria|p__Verrucomicrobia	192
k__Bacteria|p__Chlamydiae	16
k__Bacteria|p__Candidatus_Saccharibacteria	19
k__Bacteria|p__Spirochaetes	13
k__Bacteria|p__Thermotogae	1
k__Eukaryota	132554
k__Eukaryota|k__Viridiplantae	122117
k__Eukaryota|k__Viridiplantae|p__Streptophyta	121985
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	132
k__Eukaryota|k__Metazoa	8022
k__Eukaryota|k__Metazoa|p__Chordata	8022
k__Eukaryota|k__Fungi	2395
k__Eukaryota|k__Fungi|p__Ascomycota	2135
k__Eukaryota|k__Fungi|p__Basidiomycota	259
k__Eukaryota|p__Euglenozoa	16
k__Eukaryota|p__Cercozoa	2
k__Eukaryota|p__Apicomplexa	1
k__Archaea	6
k__Archaea|p__Euryarchaeota	6
k__Viruses	3
k__Viruses|k__Bamfordvirae	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	2
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
