#Classification	SRR20002369_bracken_P.kreport
k__Bacteria	2336796
k__Bacteria|p__Proteobacteria	1840814
k__Bacteria|p__Actinobacteria	342374
k__Bacteria|p__Firmicutes	153283
k__Bacteria|p__Tenericutes	76
k__Bacteria|p__Deinococcus-Thermus	3
k__Bacteria|p__Bacteroidetes	244
k__Eukaryota	2451
k__Eukaryota|k__Metazoa	1829
k__Eukaryota|k__Metazoa|p__Chordata	1829
k__Eukaryota|k__Fungi	612
k__Eukaryota|k__Fungi|p__Ascomycota	603
k__Eukaryota|k__Fungi|p__Basidiomycota	8
k__Eukaryota|k__Viridiplantae	10
k__Eukaryota|k__Viridiplantae|p__Streptophyta	10
k__Viruses	24
k__Viruses|k__Heunggongvirae	24
k__Viruses|k__Heunggongvirae|p__Uroviricota	24
