#Classification	SRR5091611_bracken_P.kreport
k__Bacteria	14975197
k__Bacteria|p__Bacteroidetes	12957914
k__Bacteria|p__Firmicutes	1544256
k__Bacteria|p__Actinobacteria	9150
k__Bacteria|p__Tenericutes	55
k__Bacteria|p__Proteobacteria	463527
k__Bacteria|p__Verrucomicrobia	129
k__Bacteria|p__Fusobacteria	130
k__Bacteria|p__Synergistetes	15
k__Bacteria|p__Candidatus_Saccharibacteria	12
k__Bacteria|p__Spirochaetes	4
k__Bacteria|p__Elusimicrobia	1
k__Eukaryota	2242
k__Eukaryota|k__Fungi	1136
k__Eukaryota|k__Fungi|p__Ascomycota	1069
k__Eukaryota|k__Fungi|p__Basidiomycota	67
k__Eukaryota|k__Metazoa	494
k__Eukaryota|k__Metazoa|p__Chordata	494
k__Eukaryota|k__Viridiplantae	612
k__Eukaryota|k__Viridiplantae|p__Streptophyta	612
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	573
k__Viruses|k__Heunggongvirae	560
k__Viruses|k__Heunggongvirae|p__Uroviricota	560
k__Viruses|k__Shotokuvirae	12
k__Viruses|k__Shotokuvirae|p__Cossaviricota	12
k__Viruses|k__Sangervirae	1
k__Viruses|k__Sangervirae|p__Phixviricota	1
