#Classification	W-2-TORTOR-G_bracken_O.kreport
k__Bacteria	844869
k__Bacteria|p__Proteobacteria	674594
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	455133
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	258803
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	162332
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	20671
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	9297
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	3803
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	68
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	85
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	40
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	12
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	5
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	158568
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	152927
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1454
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2865
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1320
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	59540
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	32438
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	18221
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	5384
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	755
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	557
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	510
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	134
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	943
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	108
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	49
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	38
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	46
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	75
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	118
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	35
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	73
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	23
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	12
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	5
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1192
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	845
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	233
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	64
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	19
