#Classification	GQ11_bracken_P.kreport
k__Bacteria	1127634
k__Bacteria|p__Firmicutes	416974
k__Bacteria|p__Actinobacteria	390731
k__Bacteria|p__Tenericutes	24
k__Bacteria|p__Proteobacteria	206239
k__Bacteria|p__Bacteroidetes	87531
k__Bacteria|p__Fusobacteria	24227
k__Bacteria|p__Spirochaetes	1138
k__Bacteria|p__Candidatus_Saccharibacteria	765
k__Bacteria|p__Synergistetes	2
k__Eukaryota	9784
k__Eukaryota|k__Metazoa	9662
k__Eukaryota|k__Metazoa|p__Chordata	9662
k__Eukaryota|k__Viridiplantae	122
k__Eukaryota|k__Viridiplantae|p__Streptophyta	122
k__Viruses	60
k__Viruses|k__Heunggongvirae	60
k__Viruses|k__Heunggongvirae|p__Peploviricota	39
k__Viruses|k__Heunggongvirae|p__Uroviricota	21
