#Classification	S-5-DICUND-G_bracken_C.kreport
k__Bacteria	49456
k__Bacteria|p__Proteobacteria	40779
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	14427
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	22578
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1342
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2431
k__Bacteria|p__Actinobacteria	7497
k__Bacteria|p__Actinobacteria|c__Actinomycetia	7413
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	82
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1
k__Bacteria|p__Firmicutes	396
k__Bacteria|p__Firmicutes|c__Bacilli	396
k__Bacteria|p__Acidobacteria	738
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	738
k__Bacteria|p__Bacteroidetes	33
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	29
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	3
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	1
k__Bacteria|p__Planctomycetes	9
k__Bacteria|p__Planctomycetes|c__Planctomycetia	9
k__Bacteria|p__Verrucomicrobia	2
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2
k__Eukaryota	2357
k__Eukaryota|k__Viridiplantae	1422
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1422
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1413
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	9
k__Eukaryota|k__Metazoa	915
k__Eukaryota|k__Metazoa|p__Chordata	915
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	915
k__Eukaryota|k__Fungi	19
k__Eukaryota|k__Fungi|p__Ascomycota	19
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	11
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	4
