#Classification	S-5-DICUND-G_bracken_P.kreport
k__Bacteria	49462
k__Bacteria|p__Cyanobacteria	14425
k__Bacteria|p__Actinobacteria	7497
k__Bacteria|p__Firmicutes	396
k__Bacteria|p__Proteobacteria	26355
k__Bacteria|p__Acidobacteria	743
k__Bacteria|p__Bacteroidetes	33
k__Bacteria|p__Planctomycetes	9
k__Bacteria|p__Verrucomicrobia	2
k__Eukaryota	2357
k__Eukaryota|k__Viridiplantae	1422
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1422
k__Eukaryota|k__Metazoa	915
k__Eukaryota|k__Metazoa|p__Chordata	915
k__Eukaryota|k__Fungi	19
k__Eukaryota|k__Fungi|p__Ascomycota	19
