#Classification	S-1-POLCOM-B_bracken_P.kreport
k__Bacteria	37377
k__Bacteria|p__Proteobacteria	31978
k__Bacteria|p__Actinobacteria	2278
k__Bacteria|p__Cyanobacteria	100
k__Bacteria|p__Firmicutes	1104
k__Bacteria|p__Acidobacteria	1714
k__Bacteria|p__Bacteroidetes	159
k__Bacteria|p__Planctomycetes	38
k__Bacteria|p__Chlamydiae	2
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	1415
k__Eukaryota|k__Viridiplantae	857
k__Eukaryota|k__Viridiplantae|p__Streptophyta	857
k__Eukaryota|k__Metazoa	493
k__Eukaryota|k__Metazoa|p__Chordata	493
k__Eukaryota|k__Fungi	63
k__Eukaryota|k__Fungi|p__Ascomycota	59
k__Eukaryota|k__Fungi|p__Basidiomycota	4
