#Classification	GQ40_bracken_O.kreport
k__Bacteria	23297048
k__Bacteria|p__Bacteroidetes	18250891
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	18250696
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	18250696
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	194
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	194
k__Bacteria|p__Firmicutes	4787552
k__Bacteria|p__Firmicutes|c__Clostridia	4472091
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	4472091
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	264077
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	264077
k__Bacteria|p__Firmicutes|c__Bacilli	48522
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	47076
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1445
k__Bacteria|p__Firmicutes|c__Negativicutes	2567
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2130
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	435
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1
k__Bacteria|p__Firmicutes|c__Tissierellia	294
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	294
k__Bacteria|p__Actinobacteria	151351
k__Bacteria|p__Actinobacteria|c__Actinomycetia	98912
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	97569
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1027
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	174
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	99
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	40
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	52438
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	29001
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	23437
k__Bacteria|p__Verrucomicrobia	71028
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	71028
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	71028
k__Bacteria|p__Proteobacteria	35861
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	33780
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	17574
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	12996
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	3201
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1326
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1314
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	12
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	390
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	390
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	52
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	52
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	311
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	302
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1
k__Bacteria|p__Spirochaetes	312
k__Bacteria|p__Spirochaetes|c__Spirochaetia	312
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	312
k__Bacteria|p__Fusobacteria	27
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	27
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	27
k__Bacteria|p__Synergistetes	20
k__Bacteria|p__Synergistetes|c__Synergistia	20
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	20
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	2
k__Eukaryota	337
k__Eukaryota|k__Viridiplantae	269
k__Eukaryota|k__Viridiplantae|p__Streptophyta	269
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	269
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asparagales	132
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	115
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Dioscoreales	21
k__Eukaryota|k__Metazoa	62
k__Eukaryota|k__Metazoa|p__Chordata	62
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	62
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	62
k__Eukaryota|k__Fungi	4
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	4
k__Viruses	655800
k__Viruses|k__Heunggongvirae	655800
k__Viruses|k__Heunggongvirae|p__Uroviricota	655800
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	655800
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	655800
