#Classification	GQ40_bracken_P.kreport
k__Bacteria	23297068
k__Bacteria|p__Bacteroidetes	18250891
k__Bacteria|p__Firmicutes	4787552
k__Bacteria|p__Actinobacteria	151351
k__Bacteria|p__Verrucomicrobia	71030
k__Bacteria|p__Proteobacteria	35879
k__Bacteria|p__Spirochaetes	283
k__Bacteria|p__Candidatus_Saccharibacteria	31
k__Bacteria|p__Fusobacteria	27
k__Bacteria|p__Synergistetes	20
k__Eukaryota	340
k__Eukaryota|k__Viridiplantae	272
k__Eukaryota|k__Viridiplantae|p__Streptophyta	272
k__Eukaryota|k__Metazoa	62
k__Eukaryota|k__Metazoa|p__Chordata	62
k__Eukaryota|k__Fungi	4
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Viruses	655800
k__Viruses|k__Heunggongvirae	655800
k__Viruses|k__Heunggongvirae|p__Uroviricota	655800
