#Classification	S-14-POLJUN-B_bracken_C.kreport
k__Bacteria	68181
k__Bacteria|p__Proteobacteria	61768
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	40284
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	7459
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	9780
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	4244
k__Bacteria|p__Actinobacteria	3895
k__Bacteria|p__Actinobacteria|c__Actinomycetia	3895
k__Bacteria|p__Firmicutes	94
k__Bacteria|p__Firmicutes|c__Bacilli	94
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	1
k__Bacteria|p__Acidobacteria	2024
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2024
k__Bacteria|p__Planctomycetes	221
k__Bacteria|p__Planctomycetes|c__Planctomycetia	221
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Verrucomicrobia|c__Opitutae	3
k__Bacteria|p__Bacteroidetes	171
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	169
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1
k__Eukaryota	347
k__Eukaryota|k__Metazoa	286
k__Eukaryota|k__Metazoa|p__Chordata	286
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	286
k__Eukaryota|k__Fungi	38
k__Eukaryota|k__Fungi|p__Ascomycota	38
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	31
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	5
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	1
k__Eukaryota|k__Viridiplantae	23
k__Eukaryota|k__Viridiplantae|p__Streptophyta	23
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	23
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	1
