#Classification	SRR20002409_bracken_P.kreport
k__Bacteria	7321
k__Bacteria|p__Proteobacteria	5340
k__Bacteria|p__Actinobacteria	1061
k__Bacteria|p__Firmicutes	654
k__Bacteria|p__Deinococcus-Thermus	98
k__Bacteria|p__Bacteroidetes	167
k__Eukaryota	906
k__Eukaryota|k__Metazoa	850
k__Eukaryota|k__Metazoa|p__Chordata	850
k__Eukaryota|k__Fungi	44
k__Eukaryota|k__Fungi|p__Basidiomycota	43
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Viridiplantae	11
k__Eukaryota|k__Viridiplantae|p__Streptophyta	11
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
