#Classification	NS72_bracken_P.kreport
k__Bacteria	9982786
k__Bacteria|p__Firmicutes	5724515
k__Bacteria|p__Actinobacteria	4136305
k__Bacteria|p__Bacteroidetes	75638
k__Bacteria|p__Verrucomicrobia	37496
k__Bacteria|p__Proteobacteria	7132
k__Bacteria|p__Candidatus_Saccharibacteria	1271
k__Bacteria|p__Spirochaetes	324
k__Bacteria|p__Fusobacteria	103
k__Eukaryota	2372
k__Eukaryota|k__Viridiplantae	2127
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2127
k__Eukaryota|k__Fungi	242
k__Eukaryota|k__Fungi|p__Ascomycota	232
k__Eukaryota|k__Fungi|p__Basidiomycota	9
k__Eukaryota|p__Euglenozoa	2
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	508382
k__Viruses|k__Heunggongvirae	508382
k__Viruses|k__Heunggongvirae|p__Uroviricota	508382
