#Classification	S-9-POLCOM-B_bracken_F.kreport
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	605
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	543
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae	86
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Archangiaceae	197
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Labilitrichaceae	71
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae	187
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	61
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfohalobiaceae	12
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	49
k__Bacteria|p__Proteobacteria|c__Oligoflexia	18
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	18
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales|f__Silvanigrellaceae	18
k__Bacteria|p__Actinobacteria	69980
k__Bacteria|p__Actinobacteria|c__Actinomycetia	66648
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	51920
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	51342
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	386
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae	192
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	3593
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	3361
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermacoccaceae	183
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermabacteraceae	45
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Brevibacteriaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Cellulomonadaceae	1
