#Classification	S-8-POLJUN-B_bracken_O.kreport
k__Bacteria	1991586
k__Bacteria|p__Proteobacteria	1244919
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	761066
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	421312
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	213934
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	71160
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	41667
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	11784
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	487
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	174
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	332
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	135
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	62
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	3
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	377633
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	360774
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	10045
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2393
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	4420
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	93068
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	29802
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	24388
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	29738
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1827
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1503
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	221
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1871
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1989
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	153
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	180
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	166
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	87
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	43
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	686
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	225
