#Classification	GQ13_bracken_P.kreport
k__Bacteria	6804863
k__Bacteria|p__Proteobacteria	2933937
k__Bacteria|p__Firmicutes	1736765
k__Bacteria|p__Actinobacteria	770268
k__Bacteria|p__Tenericutes	45
k__Bacteria|p__Deinococcus-Thermus	3
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Bacteroidetes	1197054
k__Bacteria|p__Fusobacteria	126099
k__Bacteria|p__Candidatus_Saccharibacteria	27879
k__Bacteria|p__Spirochaetes	12102
k__Bacteria|p__Synergistetes	706
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	6881
k__Eukaryota|k__Metazoa	6620
k__Eukaryota|k__Metazoa|p__Chordata	6620
k__Eukaryota|k__Fungi	29
k__Eukaryota|k__Fungi|p__Ascomycota	24
k__Eukaryota|k__Fungi|p__Basidiomycota	5
k__Eukaryota|k__Viridiplantae	231
k__Eukaryota|k__Viridiplantae|p__Streptophyta	231
k__Viruses	173
k__Viruses|k__Heunggongvirae	172
k__Viruses|k__Heunggongvirae|p__Peploviricota	89
k__Viruses|k__Heunggongvirae|p__Uroviricota	83
k__Viruses|k__Shotokuvirae	1
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	1
