#Classification	S-21-POLJUN-B_bracken_P.kreport
k__Bacteria	531132
k__Bacteria|p__Cyanobacteria	169001
k__Bacteria|p__Actinobacteria	90288
k__Bacteria|p__Chloroflexi	21
k__Bacteria|p__Firmicutes	1204
k__Bacteria|p__Armatimonadetes	13
k__Bacteria|p__Deinococcus-Thermus	3
k__Bacteria|p__Proteobacteria	243333
k__Bacteria|p__Bacteroidetes	11810
k__Bacteria|p__Gemmatimonadetes	182
k__Bacteria|p__Acidobacteria	12523
k__Bacteria|p__Planctomycetes	2597
k__Bacteria|p__Verrucomicrobia	125
k__Bacteria|p__Chlamydiae	23
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Bacteria|p__Spirochaetes	1
k__Eukaryota	3636
k__Eukaryota|k__Viridiplantae	1993
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1987
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	5
k__Eukaryota|k__Metazoa	1004
k__Eukaryota|k__Metazoa|p__Chordata	1004
k__Eukaryota|k__Fungi	638
k__Eukaryota|k__Fungi|p__Ascomycota	392
k__Eukaryota|k__Fungi|p__Basidiomycota	245
k__Eukaryota|p__Apicomplexa	1
