#Classification	N-2-TORTOR-G_bracken_O.kreport
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	197
k__Bacteria|p__Proteobacteria|c__Oligoflexia	25
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	17
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	7
k__Bacteria|p__Cyanobacteria	141943
k__Bacteria|p__Cyanobacteria|o__Nostocales	138117
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	187
k__Bacteria|p__Cyanobacteria|o__Chroococcales	172
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	3345
k__Bacteria|p__Cyanobacteria|o__Synechococcales	93
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	13
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	5
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	5
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	6
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	1
k__Bacteria|p__Actinobacteria	57500
k__Bacteria|p__Actinobacteria|c__Actinomycetia	54739
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	49760
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	1225
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	1098
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	1567
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	341
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	76
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	88
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	324
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	76
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	80
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	79
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	10
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1653
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	1586
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	67
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	583
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	583
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	490
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	490
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	28
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales	18
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales	5
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	3
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	5
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	5
k__Bacteria|p__Firmicutes	6069
k__Bacteria|p__Firmicutes|c__Bacilli	5990
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	5490
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	500
k__Bacteria|p__Firmicutes|c__Clostridia	62
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	62
k__Bacteria|p__Firmicutes|c__Tissierellia	16
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	16
k__Bacteria|p__Armatimonadetes	77
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	57
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales	57
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	20
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales	20
k__Bacteria|p__Chloroflexi	24
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	19
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	19
k__Bacteria|p__Chloroflexi|c__Tepidiformia	3
k__Bacteria|p__Chloroflexi|c__Tepidiformia|o__Tepidiformales	3
k__Bacteria|p__Chloroflexi|c__Anaerolineae	1
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	1
k__Bacteria|p__Deinococcus-Thermus	17
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	17
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	14
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	3
k__Bacteria|p__Acidobacteria	14795
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	14795
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	14757
