#Classification	SRR5091514_bracken_P.kreport
k__Bacteria	6048444
k__Bacteria|p__Bacteroidetes	5429600
k__Bacteria|p__Firmicutes	390683
k__Bacteria|p__Actinobacteria	1306
k__Bacteria|p__Verrucomicrobia	29624
k__Bacteria|p__Proteobacteria	197031
k__Bacteria|p__Synergistetes	150
k__Bacteria|p__Fusobacteria	29
k__Bacteria|p__Candidatus_Saccharibacteria	9
k__Bacteria|p__Spirochaetes	2
k__Bacteria|p__Chrysiogenetes	5
k__Eukaryota	225
k__Eukaryota|k__Viridiplantae	114
k__Eukaryota|k__Viridiplantae|p__Streptophyta	114
k__Eukaryota|k__Metazoa	68
k__Eukaryota|k__Metazoa|p__Chordata	68
k__Eukaryota|k__Fungi	42
k__Eukaryota|k__Fungi|p__Ascomycota	8
k__Eukaryota|k__Fungi|p__Basidiomycota	34
k__Viruses	8587
k__Viruses|k__Heunggongvirae	8559
k__Viruses|k__Heunggongvirae|p__Uroviricota	8559
k__Viruses|k__Sangervirae	28
k__Viruses|k__Sangervirae|p__Phixviricota	28
