#Classification	S-7-DICUND-G_bracken_O.kreport
k__Bacteria	259192
k__Bacteria|p__Actinobacteria	79495
k__Bacteria|p__Actinobacteria|c__Actinomycetia	73583
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	7034
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	55051
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	674
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	1302
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	628
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	6232
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	677
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	1609
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	247
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	95
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	28
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	4456
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	4361
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	94
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	1263
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	1263
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	192
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	192
k__Bacteria|p__Firmicutes	49987
k__Bacteria|p__Firmicutes|c__Bacilli	49700
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	43404
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	6296
k__Bacteria|p__Firmicutes|c__Clostridia	286
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	286
k__Bacteria|p__Cyanobacteria	544
k__Bacteria|p__Cyanobacteria|o__Nostocales	534
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	10
k__Bacteria|p__Armatimonadetes	73
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	73
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales	73
k__Bacteria|p__Chloroflexi	13
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	13
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	13
k__Bacteria|p__Proteobacteria	120306
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	54974
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	45988
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1226
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	6768
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	939
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	37
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	13
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	50421
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	49262
