#Classification	S-9-DICUND-G_bracken_O.kreport
k__Bacteria	845608
k__Bacteria|p__Proteobacteria	446020
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	200799
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	82118
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	60807
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	44741
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	10508
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2069
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	89
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	96
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	363
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	4
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	200461
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	196718
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1240
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	977
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1525
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	41897
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	8923
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	11843
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	14807
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	3724
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	376
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	123
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	644
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	56
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	25
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	994
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	35
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	67
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	158
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	113
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2437
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2298
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	93
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	31
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	12
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	1
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	4
