#Classification	S-17-POLJUN-B_bracken_P.kreport
k__Bacteria	42869
k__Bacteria|p__Proteobacteria	32534
k__Bacteria|p__Cyanobacteria	3489
k__Bacteria|p__Actinobacteria	2614
k__Bacteria|p__Firmicutes	446
k__Bacteria|p__Acidobacteria	3586
k__Bacteria|p__Bacteroidetes	169
k__Bacteria|p__Planctomycetes	23
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	82
k__Eukaryota|k__Fungi	55
k__Eukaryota|k__Fungi|p__Basidiomycota	21
k__Eukaryota|k__Fungi|p__Ascomycota	34
k__Eukaryota|k__Viridiplantae	26
k__Eukaryota|k__Viridiplantae|p__Streptophyta	26
