#Classification	S-14-POLJUN-B_bracken_C.kreport
k__Bacteria	1453337
k__Bacteria|p__Proteobacteria	816583
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	338534
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	175491
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	294258
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	8089
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	71
k__Bacteria|p__Proteobacteria|c__Oligoflexia	46
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	68
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	21
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	2
k__Bacteria|p__Actinobacteria	434647
k__Bacteria|p__Actinobacteria|c__Actinomycetia	297480
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	14720
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	4960
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	974
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	495
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	116015
k__Bacteria|p__Firmicutes	113433
k__Bacteria|p__Firmicutes|c__Bacilli	112446
k__Bacteria|p__Firmicutes|c__Clostridia	710
k__Bacteria|p__Firmicutes|c__Negativicutes	194
k__Bacteria|p__Firmicutes|c__Limnochordia	9
k__Bacteria|p__Firmicutes|c__Tissierellia	64
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	7
k__Bacteria|p__Chloroflexi	281
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	91
k__Bacteria|p__Chloroflexi|c__Tepidiformia	19
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	17
k__Bacteria|p__Chloroflexi|c__Chloroflexia	24
k__Bacteria|p__Chloroflexi|c__Anaerolineae	12
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	59
k__Bacteria|p__Chloroflexi|c__Caldilineae	7
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	50
k__Bacteria|p__Deinococcus-Thermus	271
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	271
k__Bacteria|p__Armatimonadetes	92
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	55
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	37
k__Bacteria|p__Cyanobacteria	50
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	50
k__Bacteria|p__Tenericutes	13
