name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas_E fluorescens_H	138333	S	4	498	502	0.16551
Pseudomonas_E sp002814235	138649	S	1	31	32	0.01055
Pseudomonas_E sp002836515	138650	S	1	77	78	0.02572
Caballeronia sp001557535	126764	S	15	278	293	0.09660
Janthinobacterium agaricidamnosum	127440	S	11	532	543	0.17903
Variovorax sp009765735	129478	S	13	321	334	0.11012
Paraburkholderia sp900996245	128090	S	1	16	17	0.00561
Rhodanobacter sp903827735	140625	S	4	99	103	0.03396
Rouxiella silvae	133429	S	1	13	14	0.00462
Methylobacterium sp022829365	118326	S	17	251	268	0.08836
Methylobacterium sp022829585	118333	S	2	26	28	0.00923
Methylobacterium sp022829385	118327	S	1	11	12	0.00396
Methylobacterium sp008039875	118308	S	1	15	16	0.00528
Lichenihabitans flavocetrariae	118233	S	5	11	16	0.00528
Rhizobium rhododendri	119997	S	1	27	28	0.00923
Lichenicoccus roseus	113922	S	38	249	287	0.09463
Acidisoma sp009765865	113615	S	36	138	174	0.05737
LMUY01 sp009765685	113921	S	1	5	6	0.00198
Sphingomonas_N sp937859915	125357	S	9	46	55	0.01813
Sphingomonas_N sp903871605	125356	S	1	13	14	0.00462
Novosphingobium sp903970225	124574	S	1	12	13	0.00429
CAHJWH01 sp009765965	114500	S	2	17	19	0.00626
Granulicella elongata	40164	S	1	2	3	0.00099
Granulicella sp009765785	40171	S	1	6	7	0.00231
Granulicella sp903970395	40191	S	1	53	54	0.01780
Granulicella mallensis	40165	S	1	6	7	0.00231
Granulicella_C sibirica	40198	S	3	21	24	0.00791
Granulicella_C sp937873145	40203	S	1	2	3	0.00099
Silvibacterium bohemicum	40370	S	1	6	7	0.00231
Silvibacterium sp013289875	40372	S	1	1	2	0.00066
Edaphobacter sp009765825	40142	S	2	4	6	0.00198
Granulicella_D aggregans_A	40206	S	1	2	3	0.00099
Granulicella_B arctica	40194	S	1	3	4	0.00132
Puia sp013288945	83678	S	4	23	27	0.00890
Mucilaginibacter sp024808665	89928	S	2	3	5	0.00165
Mucilaginibacter xinganensis_A	89984	S	1	0	1	0.00033
Palsa-1515 sp903970385	102220	S	1	6	7	0.00231
