#Classification	SRR20002363_bracken_P.kreport
k__Bacteria	10514563
k__Bacteria|p__Firmicutes	10219732
k__Bacteria|p__Actinobacteria	8391
k__Bacteria|p__Deinococcus-Thermus	6
k__Bacteria|p__Proteobacteria	286205
k__Bacteria|p__Bacteroidetes	218
k__Bacteria|p__Chlamydiae	10
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	1572
k__Eukaryota|k__Viridiplantae	885
k__Eukaryota|k__Viridiplantae|p__Streptophyta	885
k__Eukaryota|k__Fungi	406
k__Eukaryota|k__Fungi|p__Basidiomycota	196
k__Eukaryota|k__Fungi|p__Ascomycota	210
k__Eukaryota|k__Metazoa	279
k__Eukaryota|k__Metazoa|p__Chordata	279
