#Classification	S-17-POLPIL-G_bracken_C.kreport
k__Bacteria	17067
k__Bacteria|p__Proteobacteria	13507
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	8369
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	3358
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1776
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3
k__Bacteria|p__Bacteroidetes	2341
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	80
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2258
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2
k__Bacteria|p__Actinobacteria	1084
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1084
k__Bacteria|p__Acidobacteria	123
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	123
k__Bacteria|p__Planctomycetes	10
k__Bacteria|p__Planctomycetes|c__Planctomycetia	10
k__Eukaryota	2318
k__Eukaryota|k__Viridiplantae	2133
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2133
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	2083
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	50
k__Eukaryota|k__Metazoa	138
k__Eukaryota|k__Metazoa|p__Chordata	138
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	138
k__Eukaryota|k__Fungi	47
k__Eukaryota|k__Fungi|p__Ascomycota	47
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	47
