#Classification	S-26-POLJUN-G_bracken_P.kreport
k__Bacteria	493381
k__Bacteria|p__Proteobacteria	358138
k__Bacteria|p__Actinobacteria	68071
k__Bacteria|p__Cyanobacteria	53593
k__Bacteria|p__Firmicutes	924
k__Bacteria|p__Chloroflexi	24
k__Bacteria|p__Deinococcus-Thermus	13
k__Bacteria|p__Armatimonadetes	11
k__Bacteria|p__Tenericutes	1
k__Bacteria|p__Acidobacteria	7583
k__Bacteria|p__Bacteroidetes	3429
k__Bacteria|p__Gemmatimonadetes	17
k__Bacteria|p__Planctomycetes	1394
k__Bacteria|p__Verrucomicrobia	137
k__Bacteria|p__Chlamydiae	23
k__Bacteria|p__Candidatus_Absconditabacteria	3
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Bacteria|p__Spirochaetes	12
k__Eukaryota	112402
k__Eukaryota|k__Viridiplantae	105812
k__Eukaryota|k__Viridiplantae|p__Streptophyta	105770
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	41
k__Eukaryota|k__Metazoa	5460
k__Eukaryota|k__Metazoa|p__Chordata	5460
k__Eukaryota|k__Fungi	1127
k__Eukaryota|k__Fungi|p__Ascomycota	936
k__Eukaryota|k__Fungi|p__Basidiomycota	191
k__Eukaryota|p__Cercozoa	2
k__Archaea	4
k__Archaea|p__Euryarchaeota	4
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
