#Classification	N-3-POLJUN-G_bracken_F.kreport
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae	19
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Labilitrichaceae	27
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae	9
k__Bacteria|p__Proteobacteria|c__Oligoflexia	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae	1
k__Bacteria|p__Cyanobacteria	45949
k__Bacteria|p__Cyanobacteria|o__Nostocales	45892
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	41668
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae	1559
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae	715
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae	514
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae	121
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae	1254
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Tolypothrichaceae	56
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	35
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Oscillatoriaceae	34
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Gomontiellaceae	1
k__Bacteria|p__Cyanobacteria|o__Chroococcales	2
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Microcystaceae	2
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	15
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales|f__Leptolyngbyaceae	15
k__Bacteria|p__Cyanobacteria|o__Synechococcales	4
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Synechococcaceae	4
k__Bacteria|p__Actinobacteria	31743
k__Bacteria|p__Actinobacteria|c__Actinomycetia	29643
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	10693
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	8493
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	2151
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae	42
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	7768
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	7768
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	5647
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae	274
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	5373
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	1862
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	1209
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	653
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	1065
