#Classification	N-3-POLJUN-G_bracken_P.kreport
k__Bacteria	943807
k__Bacteria|p__Proteobacteria	860350
k__Bacteria|p__Cyanobacteria	45949
k__Bacteria|p__Actinobacteria	31749
k__Bacteria|p__Firmicutes	8
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Acidobacteria	4424
k__Bacteria|p__Bacteroidetes	1043
k__Bacteria|p__Planctomycetes	253
k__Bacteria|p__Verrucomicrobia	26
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	25006
k__Eukaryota|k__Viridiplantae	23057
k__Eukaryota|k__Viridiplantae|p__Streptophyta	23055
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	2
k__Eukaryota|k__Metazoa	1716
k__Eukaryota|k__Metazoa|p__Chordata	1716
k__Eukaryota|k__Fungi	232
k__Eukaryota|k__Fungi|p__Ascomycota	199
k__Eukaryota|k__Fungi|p__Basidiomycota	32
