#Classification	W-1-TORTOR-G_bracken_P.kreport
k__Bacteria	229337
k__Bacteria|p__Cyanobacteria	62190
k__Bacteria|p__Actinobacteria	19578
k__Bacteria|p__Firmicutes	4333
k__Bacteria|p__Deinococcus-Thermus	9
k__Bacteria|p__Armatimonadetes	2
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Proteobacteria	114411
k__Bacteria|p__Acidobacteria	26777
k__Bacteria|p__Bacteroidetes	2008
k__Bacteria|p__Planctomycetes	22
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	12858
k__Eukaryota|k__Viridiplantae	12423
k__Eukaryota|k__Viridiplantae|p__Streptophyta	12423
k__Eukaryota|k__Metazoa	406
k__Eukaryota|k__Metazoa|p__Chordata	406
k__Eukaryota|k__Fungi	28
k__Eukaryota|k__Fungi|p__Ascomycota	22
k__Eukaryota|k__Fungi|p__Basidiomycota	6
