feature	Acetobacteraceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Akkermansiaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Dehalococcoidaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Methylobacteriaceae	Micrococcaceae	Moraxellaceae	Muribaculaceae	Nanosynbacteraceae	Neisseriaceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rikenellaceae	Selenomonadaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Treponemataceae	Turicibacteraceae	Veillonellaceae	Weeksellaceae	Xanthomonadaceae
NS34	0	20387	2878	0	25169	5	1	5596071	0	45718	0	0	1422	65	338	12213	0	159	11	1	1	8941	226406	3975	10734	2680	4	4215	418647	7	771	19	0	3	0	1	0	5	20267	96679	14	6186	7434	0	555	1001	8	121	32892	0	0	0	5862	2	0	169753	92	10534	495	448	0
NS36	30	49322	320	0	1669454	18	0	1254406	88	86324	0	0	9477	151	1841	310373	85	51885	152	0	2036	10139	2479	17722	43742	2730	42	19	352747	868	1	10	0	8	2484	1	24	8	29756	1453447	8	1153	18585	4	117	582	19	5679	346697	0	0	6779	29982	22434	27	266241	109	9629	14	440	0
NS38	49	12	332	0	661731	77	0	1274076	26	623910	0	30	162	25	2695	36578	0	71526	13	0	3896	9153	164744	8775	12704	1795	27	14	1203779	8176	0	0	0	82	5991	169	22	0	14669	493138	1332	220	6591	0	0	86	6	3142	73175	0	0	0	13388	11288	7	118800	40	505	13033	541	60
NS39	11	6633	548	0	10736	4	0	584182	6808	168963	0	0	2302	77	653	19930	0	19369	0	0	0	423	31246	814	5993	830	26	60	440888	35	0	0	0	30	2344	61	15	215	16446	2828557	6597	4944	7445	0	9	54510	12	93	51094	52097	0	0	7395	10459	21	33248	113	561	1727	0	0
NS4	4	7	1	0	37	0	0	1873212	13	140366	0	0	742	13	0	10522	941	8006	0	0	0	1005	196058	786	3945	399	0	27	1400789	237	0	0	0	15	0	0	0	4	2279	1889957	9959	143	1492	0	0	92	0	0	3571	0	0	0	7782	35	0	10615	65	550	636	0	0
NS40	18	1273	112	12	58	6800	9	194734	56	260460	0	23	1772	0	214	26548	20	64921	2	0	1	2455	25359	3957	13901	2435	78	84	658435	38267	0	0	0	5	0	0	14	0	1921	2641254	97	353	3149	0	117	49112	26	257	14256	21129	0	29	4880	300	0	75992	209	76	1881	0	0
NS41	0	1854	6	32	12118	426	0	1535641	188	18129	0	0	47977	0	337	16577	0	4826	0	0	0	243	4154	11183	5845	1410	1	0	1174999	13008	0	0	0	3	0	3	7	0	26971	2608094	253	58	2190	0	58	3134250	2	8375	96590	28423	0	0	4217	8719	0	527927	24	66	448	0	0
NS46	21	18	703	0	7276	24	1	516150	58	144748	2	54	15045	156	6259	173662	45	644	0	0	0	44149	79865	3261	25332	3375	241	4	1136896	3379	3	0	0	111	3250	0	5	1	8173	496350	33	472	12859	12	158	1968	3	0	26602	0	164	4720	6843	0	5	15724	145	36801	138	433	0
NS51	15	790	269	13	11	304	13	53841	1	506712	194	2446	336	119	107	413598	0	3254	77	0	20	1485	130057	3988	17950	1082	16	458	2503927	5973	2	0	62	257	0	0	0	6	12	1315535	157	1962	108991	4342	220	532	27	94	482	1	0	17	28341	0	0	3004	86	2691	595	150	0
NS55	47	11	763	0	414	9	7	132930	0	37116	0	0	31	59	377	72789	0	13813	2	0	0	9877	30308	1474	147162	1033	6	0	1149829	129	0	0	0	5	0	0	7	0	980	679540	8	63	9338	0	0	62	5	0	745	0	0	0	8476	0	0	687	50	835	73	0	0
NS58	36	124	1338	104	11	31	259	3192	0	134699	33	3884	3939	358	72	87961	0	52153	177	0	0	1286	0	437	102598	280	61	67	4894372	144	0	0	108	203	0	1	4	4	19	144413	1096	220	17340	488	2	6787	25	0	117	1	13	196	42562	13	0	487	26	106992	337	0	0
NS6	38	14	127	0	190	11	92	4340536	90	311	0	0	240	148	201	41766	0	12218	16	2	0	16076	18739	2679	39268	2893	7	0	2460911	1194	4	0	0	15	0	11	0	13	19489	1621582	792	2672	21083	0	1068	5573	5	14903	108988	0	0	167	28242	1	0	280240	107	16	237	2736	0
