feature	Acetobacteraceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Akkermansiaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Dehalococcoidaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Methylobacteriaceae	Micrococcaceae	Moraxellaceae	Muribaculaceae	Nanosynbacteraceae	Neisseriaceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rikenellaceae	Selenomonadaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Treponemataceae	Turicibacteraceae	Veillonellaceae	Weeksellaceae	Xanthomonadaceae
NS10	1.85124916740069e-06	0.000333965349799084	8.14549633656302e-06	5.18349766872192e-06	5.44267255215802e-05	8.14549633656302e-06	2.59174883436096e-06	0.00648529608323809	0	0.0911303320141332	0	0	0.000340629846801726	0	7.84929646977891e-05	0.021548540308544	1.44397435057254e-05	0.174305476106112	0	0	0	0.00146063559307914	0.00585290936765401	0.00273059252191601	0.011361856640005	0.000498726525697745	7.40499666960275e-07	8.51574617004316e-06	0.418096849210942	3.03604863453713e-05	0	0	0	0	0	0	3.70249833480137e-07	0	8.14549633656302e-06	0.248671265910098	0	2.55472385101295e-05	0.00866495685293566	0	0	0.00305604212554505	4.81324783524179e-06	0.000158096678896019	0.000120331195881045	7.40499666960275e-07	0	0	0.00206747507015309	7.18284676951467e-05	0	0.000682740692937373	8.51574617004316e-06	1.03669953374438e-05	0.00208043381432489	7.77524650308289e-06	1.85124916740069e-06
NS11	2.28725624239319e-06	0.00158305040870578	6.18904630294628e-06	0	0.00182913227149032	1.74907830300656e-06	0	0.440908600433287	7.13085769687289e-06	0.0125492331906175	0	0	1.35889929695125e-05	7.66903563625952e-06	0.000149344378179791	0.00149532740458576	8.0726690907995e-07	0.00418756254636739	0	0	3.09452315147314e-06	0.000235049215027112	0.0109503065326998	0.000774707143747059	0.00116300252701451	0.000227245634906006	4.03633454539975e-07	0	0.0264553475109136	0.0013307794996183	0	0	0	9.41811393926608e-07	0	5.54323277568232e-05	0	0	0.00506734893277969	0.0850290198999366	5.11269042417302e-05	1.74907830300656e-06	0.000147191666422244	0	0	0.246401675025019	2.69088969693317e-07	0.00299253843195937	0.0107471443605814	8.0726690907995e-07	0	1.30508150301259e-05	0.000736631054535454	0.00116031163731758	0	0.0917542259749968	6.18904630294628e-06	1.11671922422726e-05	0.0519398220191737	1.74907830300656e-06	0
NS13	5.8987449205734e-06	2.08190997196708e-06	1.11035198504911e-05	0	7.11319240422086e-06	1.73492497663924e-07	1.05830423574993e-05	0.164851009847781	3.46984995327847e-07	4.85778993458986e-05	0	0	0.000173145512668596	1.16239973434829e-05	1.33589223201221e-05	0.0106000446222704	0	5.8987449205734e-06	3.46984995327847e-07	0	0	0.00347418726572007	0	0.000681652023321556	0.00272469967581192	0.000215998159591585	2.77587996262278e-06	0	0.588427217641827	3.20961120678259e-05	3.46984995327847e-07	0	0	0	0	0	0	0	6.8182551581922e-05	0.138056308031072	4.85778993458986e-06	9.17775312642155e-05	0.0801294184635574	0	3.46984995327847e-07	5.91609417033979e-05	1.73492497663924e-07	0	0.00658143789888094	0	0	1.00625648645076e-05	0.00234475110592793	0	0	0.00106212107069854	1.370590731545e-05	0.000269954326365065	7.46017739954871e-06	0	0
NS21	1.07261548314599e-06	3.60788844330925e-06	5.94814040653687e-06	5.75311940960123e-06	9.36100785291048e-06	3.9004199387127e-07	1.6576784739529e-06	0.40354037217417	1.95020996935635e-07	0.00091191818167103	0	2.34025196322762e-06	0.000374732845611823	3.80290944024488e-06	8.19088187129667e-06	0.00773638543793818	0	5.26556691726215e-06	0.000337873877190988	9.75104984678175e-08	5.85062990806905e-07	0.000759216741070427	0.00851071630627111	9.60478409908003e-05	0.00416984144597928	4.01743253687408e-05	6.04565090500469e-06	1.6576784739529e-06	0.201025595920785	4.58299342798742e-06	0	1.17012598161381e-06	0	7.8008398774254e-07	0	0	1.95020996935635e-07	0	0.00170965156963624	0.358506416093289	0.000126763648008163	1.95020996935635e-06	0.0019343157581061	0	9.75104984678175e-08	2.23299041491302e-05	1.56016797548508e-06	0	7.51805943186873e-05	0	0	0	0.00215605463162191	4.09544093564834e-06	0	0.00636470525599139	1.08236653299277e-05	3.3153569479058e-06	0.00151716584566077	0	0
NS25	1.0939769674389e-05	0.0126214970070738	3.14705702961875e-06	1.49859858553274e-06	4.72058554442813e-06	0	0	0.452232844455507	1.32625974819647e-05	0.00143775548296011	0	0	0.00182731618526935	0	9.96568059379271e-06	0.00615624298936849	0	1.19887886842619e-06	0	0	4.72058554442813e-06	0.000374499786524631	0.000364534105930839	0.0184093844641184	0.00133442711048763	0.000649792346686996	0	6.74369363489733e-07	0.0629630201317238	4.0462161809384e-06	0	0	0	6.74369363489733e-07	0	7.4929929276637e-07	7.4929929276637e-08	0	0.000434668519733771	0.428646251457949	7.64285278621697e-06	3.56666463356792e-05	0.00111413311841431	0	7.4929929276637e-08	6.66876370562069e-05	3.82142639310848e-06	0.000625140399954982	0.000375099225958845	0	0	0	0.000100331175301417	0.000854650773329321	0	0.00922027765734873	7.64285278621697e-06	7.91260053161286e-05	1.79831830263929e-06	0	0
NS27	6.15577512953452e-06	8.95827275429629e-05	4.85982247068515e-06	2.91589348241109e-05	0.00548123177060342	0.000189695070439077	6.47976329424686e-07	0.184595982708752	4.04985205890429e-06	0.102188135067426	0	0	0.000660611867848468	1.11775916825758e-05	0.000154542354567788	0.00908592409119295	1.29595265884937e-06	0.00721408246956739	1.61994082356172e-07	0	0	0.000277009880829053	0	8.32649583310722e-05	0.014300027619991	0.000353795075865879	5.18381063539749e-06	1.1339585764932e-06	0.266861599545769	0.000275551934087848	0	8.09970411780858e-07	0	6.47976329424686e-07	0	0	0	0	1.32835147532061e-05	0.370835395383007	0.000709372086637675	3.22368223888781e-05	0.000988487890537359	0	6.47976329424686e-07	0.000286729525770424	1.78193490591789e-06	0	0.00459172226438568	0	0	2.10592307063023e-05	0.0158507969703867	0.00054964592143449	0	0.010585017329317	6.96574554131538e-06	1.76573549768227e-05	0.0032325919134174	0.0004002873775021	0
NS28	2.28960676258253e-06	0.00248549534115904	0.000178080525978642	0	0.060115915158367	0.000206827810886622	1.24656368185049e-05	0.0592010900563396	1.80624533492622e-05	0.00915537424131336	0	0	0.0206624290285504	3.63793074499225e-05	4.60465360030487e-05	0.00460516240180767	0	0.000544163207240449	3.0019288664971e-05	0	0	6.71617983690877e-05	0.00712601944741104	0.000655081934850003	0.00182354458602129	0.000164851686905942	2.79840826537865e-06	8.42066487127576e-05	0.154569571736687	6.15649818383304e-05	2.28960676258253e-06	0	0	0	0	6.94514051316702e-05	0	7.63202254194178e-07	0.00243436079012803	0.334092041174253	0.00043782369315606	5.1388951782408e-05	0.000903885869717305	0	2.64576781453982e-05	0.271177463349756	1.01760300559224e-06	1.2720037569903e-05	0.0135122415097565	0	0	0	0.0026210909416542	0.00639080127587065	1.52640450838836e-06	0.0353064994812769	6.10561803355342e-06	6.28369855953207e-05	0.0109285474785578	0.000106085113332991	0
NS29	0	0.00100540559461865	3.32758352828867e-05	0	8.6430740994511e-06	7.56268983701971e-06	0.000898447552637942	0.0592815487870202	1.29646111491767e-06	0.220741735654604	0	0	0.000969320760253441	1.03716889193413e-05	0.000437771703137198	0.0648654068089706	0	0.000692958465923492	8.6430740994511e-06	0	0	0.0217537532009085	0.00153155273042273	0.00350887200752466	0.117848747499721	0.00577703072807312	7.2385745582903e-05	8.42699724696482e-06	0.254876044272418	6.95767465005814e-05	0	0	0	2.16076852486277e-06	0	0	1.08038426243139e-06	0	1.08038426243139e-06	0.226412672648106	1.51253796740394e-06	0.000644773327819052	0.0109503427302996	0	2.16076852486277e-07	0.000114304654965241	2.80899908232161e-06	0	0.00232498693275235	1.36128417066355e-05	0	0	0.00463808963861795	0	0	0.000271176449870278	4.7536907546981e-06	0.000195117397795109	1.25324574442041e-05	0	0
NS30	1.87880724793476e-05	0.000267681609963489	2.86663373911696e-05	5.22966965919986e-06	2.69231141714363e-05	1.93691468859254e-06	1.53016260398811e-05	0.0240657776228246	0	0.051550209671015	0	0	0.00023378560291312	3.02158691420436e-05	1.02656478495405e-05	0.034394762582682	0	0.000595020192335629	1.93691468859254e-07	0	1.93691468859254e-07	0.00332723205206427	0.0680854566760607	0.00801069176908103	0.0105862072305025	0.0020816022158304	7.74765875437016e-06	2.1306061574518e-06	0.552470050456628	0.000170061109658425	0	0	1.35584028201478e-06	3.29275497060732e-06	3.46707729258065e-05	0	1.08467222561182e-05	0	3.68013790832583e-06	0.229618718343551	0	6.48866420678501e-05	0.010458951935462	1.16214881315552e-06	0	0.000178777225757092	6.77920141007389e-06	0	0.000442778697812255	2.71168056402956e-06	0	0	0.00293287622146683	1.87880724793476e-05	0	0.000133647113512885	2.80852629845918e-05	3.4283389988088e-05	3.75761449586953e-05	0	0
NS32	1.83787101022176e-05	0.000891766977133688	1.59814870454066e-05	0	0.00358358211181501	1.33179058711722e-06	2.39722305681099e-06	0.119260781643877	2.98321091514257e-05	0.00845367393078525	0	0	0.0150225978226822	0	0.00014623060646547	0.0236739094765956	0	0.00176888425780909	9.05617599239707e-06	0	0.000142235234704119	0.000234661501450054	0.00883936048481439	0.00268462346551089	0.000684274003660826	0.000272750712241606	2.92993929165788e-06	0	0.305159037104751	0.00418954682895334	0	0	0	1.8645068219641e-06	0	2.07759331590286e-05	0	0	0.00565718005595651	0.38832429846599	8.25710164012674e-06	1.17197571666315e-05	0.00042084582552904	0	6.1262367007392e-06	0.0903023271176003	7.9907435227033e-07	0	0.0090393954309994	2.13086493938755e-06	0	0	0.00105051641511806	0.00191697937109652	0	0.00809702041155526	1.06543246969377e-05	3.40938390302008e-05	7.19166917043297e-06	0	0
