#Classification	S-18-POLJUN-B_bracken_P.kreport
k__Bacteria	1623358
k__Bacteria|p__Proteobacteria	1124799
k__Bacteria|p__Actinobacteria	273007
k__Bacteria|p__Cyanobacteria	91018
k__Bacteria|p__Firmicutes	25562
k__Bacteria|p__Deinococcus-Thermus	226
k__Bacteria|p__Chloroflexi	141
k__Bacteria|p__Armatimonadetes	98
k__Bacteria|p__Tenericutes	88
k__Bacteria|p__Acidobacteria	59452
k__Bacteria|p__Bacteroidetes	33657
k__Bacteria|p__Chlorobi	26
k__Bacteria|p__Rhodothermaeota	73
k__Bacteria|p__Ignavibacteriae	5
k__Bacteria|p__Gemmatimonadetes	798
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Planctomycetes	9912
k__Bacteria|p__Verrucomicrobia	3394
k__Bacteria|p__Chlamydiae	125
k__Bacteria|p__Kiritimatiellaeota	530
k__Bacteria|p__Candidatus_Omnitrophica	2
k__Bacteria|p__Candidatus_Saccharibacteria	119
k__Bacteria|p__Candidatus_Absconditabacteria	19
k__Bacteria|p__Candidatus_Bipolaricaulota	2
k__Bacteria|p__Nitrospirae	40
k__Bacteria|p__Spirochaetes	169
k__Bacteria|p__Synergistetes	39
k__Bacteria|p__Deferribacteres	6
k__Bacteria|p__Calditrichaeota	3
k__Bacteria|p__Fusobacteria	3
k__Bacteria|p__Thermotogae	2
k__Bacteria|p__Elusimicrobia	1
k__Bacteria|p__Aquificae	1
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Chrysiogenetes	29
k__Eukaryota	36334
k__Eukaryota|k__Fungi	10358
k__Eukaryota|k__Fungi|p__Ascomycota	7467
k__Eukaryota|k__Fungi|p__Basidiomycota	2891
k__Eukaryota|k__Metazoa	9542
k__Eukaryota|k__Metazoa|p__Chordata	9542
k__Eukaryota|k__Viridiplantae	16303
k__Eukaryota|k__Viridiplantae|p__Streptophyta	16152
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	151
k__Eukaryota|p__Apicomplexa	54
k__Eukaryota|p__Bacillariophyta	17
k__Eukaryota|p__Cercozoa	7
k__Eukaryota|p__Euglenozoa	44
k__Eukaryota|p__Evosea	4
k__Archaea	249
k__Archaea|p__Euryarchaeota	243
k__Archaea|p__Thaumarchaeota	3
k__Archaea|p__Crenarchaeota	2
k__Archaea|p__Candidatus_Lokiarchaeota	1
k__Viruses	14
k__Viruses|k__Heunggongvirae	13
k__Viruses|k__Heunggongvirae|p__Uroviricota	11
k__Viruses|k__Heunggongvirae|p__Peploviricota	2
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
