#Classification	SRR20002360_bracken_C.kreport
k__Bacteria	2778902
k__Bacteria|p__Proteobacteria	1712495
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1582148
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	100911
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	28945
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	383
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	62
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	40
k__Bacteria|p__Proteobacteria|c__Oligoflexia	3
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	1
k__Bacteria|p__Firmicutes	901988
k__Bacteria|p__Firmicutes|c__Bacilli	898751
k__Bacteria|p__Firmicutes|c__Clostridia	2223
k__Bacteria|p__Firmicutes|c__Negativicutes	702
k__Bacteria|p__Firmicutes|c__Tissierellia	302
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	7
k__Bacteria|p__Actinobacteria	157113
k__Bacteria|p__Actinobacteria|c__Actinomycetia	156481
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	510
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	77
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	28
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	15
k__Bacteria|p__Deinococcus-Thermus	1799
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	1799
k__Bacteria|p__Bacteroidetes	4611
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	3372
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1000
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	128
k__Bacteria|p__Bacteroidetes|c__Cytophagia	110
k__Bacteria|p__Gemmatimonadetes	2
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	2
k__Bacteria|p__Verrucomicrobia	453
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	453
k__Bacteria|p__Planctomycetes	25
k__Bacteria|p__Planctomycetes|c__Planctomycetia	25
k__Bacteria|p__Chlamydiae	8
k__Bacteria|p__Chlamydiae|c__Chlamydiia	8
k__Bacteria|p__Spirochaetes	175
k__Bacteria|p__Spirochaetes|c__Spirochaetia	175
k__Bacteria|p__Fusobacteria	141
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	141
k__Bacteria|p__Candidatus_Saccharibacteria	80
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	80
k__Bacteria|p__Nitrospirae	10
k__Bacteria|p__Nitrospirae|c__Nitrospira	10
k__Eukaryota	24699
k__Eukaryota|k__Fungi	12524
k__Eukaryota|k__Fungi|p__Basidiomycota	12115
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	12095
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	7
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	13
k__Eukaryota|k__Fungi|p__Ascomycota	408
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	203
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	163
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	10
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	30
k__Eukaryota|k__Metazoa	8181
k__Eukaryota|k__Metazoa|p__Chordata	8181
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	8181
k__Eukaryota|k__Viridiplantae	2799
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2799
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	2799
k__Eukaryota|p__Apicomplexa	1194
k__Eukaryota|p__Apicomplexa|c__Conoidasida	1181
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	12
k__Archaea	185
k__Archaea|p__Euryarchaeota	185
k__Archaea|p__Euryarchaeota|c__Halobacteria	180
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	5
k__Viruses	2898
k__Viruses|k__Heunggongvirae	2898
k__Viruses|k__Heunggongvirae|p__Uroviricota	2894
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	2894
k__Viruses|k__Heunggongvirae|p__Peploviricota	4
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	4
