#Classification	S-11-POLJUN-B_bracken_P.kreport
k__Bacteria	1025358
k__Bacteria|p__Proteobacteria	685556
k__Bacteria|p__Actinobacteria	153371
k__Bacteria|p__Cyanobacteria	138752
k__Bacteria|p__Firmicutes	8857
k__Bacteria|p__Chloroflexi	56
k__Bacteria|p__Armatimonadetes	50
k__Bacteria|p__Deinococcus-Thermus	24
k__Bacteria|p__Tenericutes	4
k__Bacteria|p__Acidobacteria	19889
k__Bacteria|p__Bacteroidetes	12644
k__Bacteria|p__Rhodothermaeota	55
k__Bacteria|p__Chlorobi	2
k__Bacteria|p__Balneolaeota	1
k__Bacteria|p__Gemmatimonadetes	137
k__Bacteria|p__Planctomycetes	4450
k__Bacteria|p__Verrucomicrobia	1395
k__Bacteria|p__Chlamydiae	47
k__Bacteria|p__Candidatus_Saccharibacteria	32
k__Bacteria|p__Spirochaetes	24
k__Bacteria|p__Aquificae	2
k__Bacteria|p__Calditrichaeota	1
k__Bacteria|p__Nitrospirae	1
k__Eukaryota	12573
k__Eukaryota|k__Viridiplantae	8389
k__Eukaryota|k__Viridiplantae|p__Streptophyta	8319
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	69
k__Eukaryota|k__Metazoa	2701
k__Eukaryota|k__Metazoa|p__Chordata	2701
k__Eukaryota|k__Fungi	1450
k__Eukaryota|k__Fungi|p__Ascomycota	1274
k__Eukaryota|k__Fungi|p__Basidiomycota	176
k__Eukaryota|p__Apicomplexa	15
k__Eukaryota|p__Bacillariophyta	4
k__Eukaryota|p__Euglenozoa	9
k__Eukaryota|p__Evosea	2
k__Archaea	15
k__Archaea|p__Euryarchaeota	15
k__Viruses	8
k__Viruses|k__Heunggongvirae	8
k__Viruses|k__Heunggongvirae|p__Uroviricota	8
