#Classification	S-3-POLCOM-G_bracken_P.kreport
k__Bacteria	23381
k__Bacteria|p__Proteobacteria	22028
k__Bacteria|p__Actinobacteria	1045
k__Bacteria|p__Firmicutes	4
k__Bacteria|p__Cyanobacteria	2
k__Bacteria|p__Acidobacteria	263
k__Bacteria|p__Bacteroidetes	29
k__Bacteria|p__Planctomycetes	9
k__Eukaryota	2180
k__Eukaryota|k__Viridiplantae	1714
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1714
k__Eukaryota|k__Metazoa	414
k__Eukaryota|k__Metazoa|p__Chordata	414
k__Eukaryota|k__Fungi	51
k__Eukaryota|k__Fungi|p__Ascomycota	49
k__Eukaryota|k__Fungi|p__Basidiomycota	2
